par_nr	head	sentence
1	 Spitzbergeni nokturn 	 Spitzbergeni nokturn 
2	NA	 Indrek Hargla 
3	NA	 Longyearbyeni lennuväli . 
4	NA	 Kuigi siin oli ka lennujaama hoone , ei söandanud Grpowski seda siiski lennujaamaks nimetada . 
4	NA	 Fokker oli end teravate mäetippude vahelt läbi keerutanud , otsides pilu rõskete pilvede vahel , millest maandumisrada korralikult näha oleks . 
4	NA	 Grpowski oli hoomanud lenduritekabiinist levivat närvilisust , kuigi ühtki häält , mis vabandavalt väikestest tehnilistest probleemidest räägiks , polnud reproduktorist kostnud . 
5	NA	 Maandumine Spitzbergenile pole kunagi lihtne olnud . 
5	NA	 Ei maandumine ega randumine . 
6	NA	 Ta ei lasknud ennast sellest häirida . 
6	NA	" Kogu viietunnise lennu Oslost oli ta oma pleierist kuulanud Dvoraki "" Slaavi tantse "" ja 4. "
6	NA	 Sümfooniat . 
6	NA	 Propellerimürin segunes kirglike stereofooniliste orkestrihäältega , moodustades omamoodi haiglase muusikalise prelüüdi , mis nii sobis selle metsiku maaga . 
7	NA	 Maailma äär ... 
8	NA	 Tema dokumentide vastu ei tundnud keegi huvi . 
8	NA	 Lennuvälja hoones oli vaid teksaülikonnas uimane tolliametnik , kelle magamatusest punased silmad jälgisid loiult saabujate pagasit . 
8	NA	 Grpowski teadis , et mees otsis , ega keegi viina Spitzbergenile ei vea . 
8	NA	 Kuiv seadus . 
8	NA	 Loomulikult tekitas tema käsipagas , õigemini üks suur must sakvojaazh , tolliametnikus huvi . 
9	NA	" "" Teil on seal pudelid ? "" "
9	NA	 Kummatigi sai Grpowski norra keelest aru , kuigi polnud seda harjutanud üle kümne aasta . 
10	NA	" "" Pudelid , "" oli ta nõus . "
11	NA	" "" Alkohol ? "" "
12	NA	" "" Vesi . "
12	NA	" Mineraalvesi . "" "
13	NA	" "" Avage palun . "" "
14	NA	 Grpowski avas klõpsuvad sakvojaazhilukud . 
14	NA	 Mees silmitses juhmil pilgul võõrkeelsete siltidega kaetud läbipaistvast klaasist pudeleid . 
15	NA	" "" Vodka ? "" "
16	NA	" "" Vesi , ma ju ütlesin härrale . "
16	NA	" Kõige harilikum vesi . "" "
17	NA	 Kell oli neli öösel ja polaarpäike siras kirkalt hoone akendest sisse . 
18	NA	 Grpowskil oli tolliametnikust kahju . 
18	NA	 Kui kaua ta oli siin olnud ? 
18	NA	 Neli aastat ? 
18	NA	 Viis ? 
18	NA	 Ikka polnud kalginäoline norralane veel polaarvööndi tsükliga harjunud — ta oli magamatusest kokku kukkumas . 
18	NA	" Kuid siiski kruttis ta värisevate sõrmedega "" Andrysczisczsini "" mineraalvee pudeli lahti ja nuusutas . "
18	NA	 Põhjamaalse distsiplineeritus . 
18	NA	 Mõneti pettunult kruvis ta siis korgi tagasi , mühatas ja ütles : 
19	NA	" "" Tõepoolest vesi . "
19	NA	" Miks te seda kaasa toote ? "" "
20	NA	" "" Ma joon seda . "" "
21	NA	" "" Joote ? "" "
22	NA	" "" Kujutage ette , joon jah . "" "
23	NA	" "" Astuge siis edasi . "" "
24	NA	 Ja ta astus edasi , pööramata erilist tähelepanu tolliametniku ehmunud ilmele , kui ta nägi Grpowski vasakul põsel asuvat ristikujulist põletusarmi . 
24	NA	 Teised reisjad olid juba lennuväljale saabunud maastikuautodega ära veetud . 
24	NA	 Tuul undas kõledalt , tõi mägedest jäist hingust ja keerutas tundrast rohuräsu . 
24	NA	 Mingi suur merelind lendas vuhinal üle Grpowski pea , tegi kääksuvat häält ja kadus hoone nurga taha . 
24	NA	 Ta tõmbas oma mantlihõlmad koomale ja väristas külmast keha . 
25	NA	 Oli juuli keskpaik . 
25	NA	 Spitzbergeni asukaile jäi veel kuu aega suvemõnusid nautida . 
25	NA	 Augusti keskelt tulevad esimesed öökülmad , tundra tõmbub taas jääkirme alla , meri kattub paksu kristalse glasuuriga . 
25	NA	 Ja siis ei aita ka enam kalüpsorütmis Kariibi merelt teele asunud Golfi hoovuse hellitavad vood , mis suvekuudel Spitzbergeni läänerannikut uhkudes siin looduse elu võimalikuks teevad . 
25	NA	 Päike madaldub iga päevaga üha rohkem horisondi taha , sundides vaalu ja rändlinde lõuna poole asuma . 
25	NA	 Elu lahkub Svalbardilt — Külmalt rannikult . 
25	NA	 Neli kuud loojumatut päikest saavad otsa , solaarenergia saab otsa . 
25	NA	 Enam ei summuta niigi hõredat õhku Golfi hoovuse ja kirbete arktikatuulte kallistusest sündinud sumbsad aurupilved . 
26	NA	 Laskub pimedus . 
26	NA	 Pikk pimedus . 
26	NA	 Maailma äärt asuvad valitsema teised jõud . 
27	NA	 Mees oli talle vastu tulnud , loomulikult oli see tema , kes muu oleks jäänud oma maasturiga veel keset ööd tühja lennuvälja hoone juurde passima . 
27	NA	 Ta võis olla oma kaks meetrit pikk , tal oli punane vihmakeep ja punane habe . 
27	NA	 Mees kaldus kergelt tüsedusele ja lonkas vasakut jalga . 
27	NA	 Kui ta lähemale astus , nägi Grpowski , et mehel oli samuti magamatusest pundunud nägu , suured avalad silmad ja loppis krobelised põsed . 
27	NA	 Vastutulija hoidis pead veidralt püstakalt kaldu ja iga sammu juures käis ta näost üle valulahvatus . 
28	NA	" "" Mister Grpowski ? "
28	NA	" Mina olen Atle Engelbrektsen . "" "
29	NA	" "" Tema ise , "" vastas kutsutu norra keeles . "
30	NA	" "" Oo , te räägite norrat ? "
30	NA	 Ma ei teadnudki . 
30	NA	" See on tore . "" "
31	NA	" "" Katsun meelde tuletada . "
31	NA	 Aga võime ka saksa või inglise keeles rääkida . 
31	NA	" Ma pole norrat kaua harjutanud . "" "
32	NA	" "" Räägite suurepäraselt . "
32	NA	 Aga , palun , lähme auto juurde , teie kohver palun . 
32	NA	" On teil veel pagasit ? "" "
33	NA	" "" On . "
33	NA	" Aga see on vist juba saabunud . "" "
34	NA	 Ja kaks üsna kummalist kuju astusid aeglaselt läbi tühja platsi , millelt jahenev rõskus ja lähenev hommik oli kõik reisjad juba lahkuma sundinud . 
34	NA	 Kahemeetrine hiiglane kandis loomuliku kergusega oma kaaslase suuri pampe . 
34	NA	 Temast pea pool meetrit lühema poolaka kõrval paistis Engelbrektsen tõesti võikalt suur . 
34	NA	 Pan Grpowski katsus aga vastuvõtja kannul püsida ning pidi selleks suurt vaeva nägema . 
34	NA	 Ta kandis tuhmhalli ülikonda ja selle alt välkusid valged sokid , kui ta usinalt norralase kannul sebis . 
35	NA	 Kui nad magava Longyearbyeni asfaldihõngustelt , kuid siiski enamasti kruusastelt tänavatelt läbi sõitsid , pani Grpowski tähele , et iga raputus tõi hiiglaskasvu norralase näole järjekordse valugrimassi . 
35	NA	 Ta oli tõmmanud maastikuautole peale presentkatuse . 
35	NA	 Ikkagi oli külm . 
36	NA	" "" Meil tuleb sõita kaks tundi , "" ütles Atle Engelbrektsen . "
36	NA	" "" Ma võin teile tee peal rääkida . "
