par_nr	head	sentence
1	 Topisetegija 	 Topisetegija 
2	NA	 Veiko Belials 
3	NA	 ( Malcolm McCoy sarjast ) 
4	NA	" "" See juhtus aastaid tagasi , "" võttis koloner Harper jutuotsa üles . "
5	NA	" "" Grupp , mille koosseisu mind oli arvatud , viibis salajase ülesandega ühes Ladina-Ameerika riigis . "
5	NA	 Millises nimelt , pole oluline . 
5	NA	 Ametlikult olime me konsultandid , mina aga olin missiooni arst . 
6	NA	 Elasime väikese küla lähistel mägede jalamil . 
6	NA	 Mäed on mind alati paelunud ja polnud ime , et sellises kohas elades kasutasin ma iga vaba hetke mägedes kolamiseks . 
6	NA	 Ühel sellisel retkel kohtasingi ma Leóni . 
7	NA	 León oli segavereline indiaanlane , kes elas üksinda tillukeses onnis . 
7	NA	 Ta nägu oli pruun ja kurruline nagu mäed , millede keskel ta elas . 
7	NA	 Muud nime kui León ei teadnud ta endal olema , ka ei mäletanud ta täpselt , kui vana ta oli . 
7	NA	 Ühtegi dokumenti tal polnud ja nii jäigi ta kõigile Leóniks . 
7	NA	 Topisetegija Leóniks . 
8	NA	 León oli kütt . 
8	NA	 Kütt ja topisetegija . 
8	NA	 See oli ainus , mida ta oskas ja oskas ta seda tõesti hästi . 
8	NA	 See oli töö , mis teda toitis . 
8	NA	 Kui ma teda esmakordselt kohtasin , sihtis ta oma päevinäinud püssiloksuga mägilammast . 
8	NA	 Üks ettevaatamatu liigutus minu poolt ja lammas oli läinud . 
8	NA	 Ta tõusis . 
8	NA	 Ta ei sõimanud mind , ei teinud etteheiteid , kuid ta silmis oli miski , mis pani mu tema jahi ärarikkumise pärast piinlikkust tundma . 
9	NA	 Külas peeti Leóni veidrikuks . 
9	NA	 Ta oli erak , kes tuli mägedest alla vaid topiseid müüma ja oma varusid täiendama . 
9	NA	 Topiseid müüs ta linnas turistidele . 
9	NA	" "" Halb , halb , "" porisesid külaelanikud ta topistest rääkides ja pöörasid pea kõrvale . "
9	NA	" "" Pole hea . "
9	NA	" Jumalad pahandavad . "" "
10	NA	 Loomulikult tegi selline jutt mind uudishimulikuks ja ootamatu aje sunnil palusin Leónilt luba ta topiseid vaatama minna . 
10	NA	 Ta oli nõus . 
10	NA	 Rohkem sõnagi lausumata pööras ta ringi ja hakkas astuma ning mul ei jäänud muud üle , kui talle järgneda . 
11	NA	 Onn , milles León elas , asus tuulte eest varjatud lõhastikus väikese astangu veerel ja sealt avanes suurepärane vaade . 
11	NA	 Ronisin ühe kaljunuki otsa , kust tuul mind kätte sai ja vaatasin ringi . 
11	NA	 Taevas , erksinine , nagu seda ainult mägedes näha võib , näis olevat veelgi kõrgemale tõusnud , seevastu paksud ja pehmed pilved olid peaaegu käeulatuses . 
11	NA	 Kõikjal kõrgusid mäed . 
11	NA	 Lõputud ahelikud , pilviriivavad tipud ... 
11	NA	 See oli ülev ja aukartustäratav vaatepilt , mis lõi hinge kinni . 
11	NA	" Pilt , mis minusugusel urbaniseerunud inimesel seostub rooflöödil mängitava "" Kondori lennuga "" . "
11	NA	 Tuul rebis mu rõivaid . 
11	NA	 Tundus , et veel veidi ning pruugib mul vaid käed laiali sirutada , kui ka mina suudan kondorina õhku tõusta . 
11	NA	 Kujutlesin end astangult alla liuglemas , laiskade spiraalidega kõrgust kogumas ja mägede kohal hõljumas ... 
11	NA	 Ei puudunud palju , et oleksingi käed laiali ajanud , nii tõetruu oli illusioon . 
12	NA	 León tõi mind maa peale tagasi . 
12	NA	 Ta tõi onnist topised ; onni sisse polnud ta mind lasknud . 
12	NA	 Ta samme kuuldes heitsin ma viimase pilgu lummavale vaatele , tunnetades selgemini kui kunagi varem looduse saladuslikku võimu , tema tumma üleolekut inimesest . 
12	NA	 Siis pöörasin ma ümber , hüppasin oma nuki otsast alla ja ahhetasin jahmatusest . 
12	NA	 Olin muidugi kuulnud , et León on osavate kätega , kuid midagi sellist , mida ma nüüd nägin , polnud ma küll osanud oodata . 
13	NA	 León seisis , räbaldunud õlgkübar näpu vahel , ja tema jalge ees ilutses grupp müütilisi olendeid , ebardeid , ma ei tea , keda . 
13	NA	 Kummardusin neid lähemalt uurima . 
13	NA	 Seal oli sarvedega jänes ; tiivuline sisalik , kes meenutas tillukest nahktiibadega draakonit ; kaheksa jalaga koer ; kolme pea ja linnujalgadega madu ning valge varss , kellel oli sarv nagu ükssarvikul . 
13	NA	" Kuigi ma olin kindel , et León on need "" imeelukad "" ise kokku pannud , ei avastanud ma ka hoolikal uurimisel sellest mingeid jälgi . "
13	NA	 Ma olin vapustatud . 
13	NA	 Minu ees seisis krimpsus mehenäss , kes oli loodusele väljakutse esitanud ; kes üritas looduse saladuslikku võimu murda , temast ise üle olla ! 
13	NA	 Ta oli tõesti suurepärane meister ! 
14	NA	 Minu küsimuse peale , mis töövahendeid ta kasutab , vaatas León mind hetke imestunult , kergitas siis oma võidunud pontšo serva ja näitas teravaksihutud pussi . 
14	NA	" "" Ja kõik ? "" oli minu kord üllatuda . "
14	NA	 Ei , selgus , et põhiliselt kasutab ta veel nõela ja loomakõõlustest niiti . 
14	NA	 Ma ei tea isegi , miks , aga ma kutsusin ta enda poole , öeldes , et mul on asju , mis võivad ta töö lihtsamaks teha . 
14	NA	 Ta noogutas ja korjas oma topised kokku . 
15	NA	 Ma olin oma kutse juba unustanud , kui ta kolme päeva pärast ootamatult minu juurde sisse astus . 
15	NA	 Mõtlesin algul , et ta on haige , kuid ta raputas pead . 
15	NA	" "" Doktor kutsus , "" sõnas ta . "
15	NA	 Siis mulle meenus . 
15	NA	 Tõstsin oma arstiriistad lauale ja ladusin laiali . 
15	NA	 Selgitasin talle nende otstarvet ja pakkusin lõpuks , et ta võib endale valida , mis tal vaja on . 
15	NA	 Ta katsus üht-teist kaaluvalt käes , proovis teravust ja valis lõpuks ühe suurema ja ühe väiksema skalpelli , pintsetid ja kerge luusae . 
15	NA	 Sõnagi lausumata astus ta välja , tuli siis tagasi ja asetas mu ette lauale sarvedega jänese topise . 
15	NA	" "" Aitäh , "" kohmas ta ning marssis mu vastust ära ootamata minema . "
16	NA	 Silmitsesin jänest mõtlikult , püüdes otsustada , mida sellega teha . 
16	NA	 Ühest küljest väljendas León sellega oma tänu ning kahtlemata oli tegu väga omapärase ja eksootilise kingitusega . 
16	NA	 Teisest küljest polnud mul sellise asjaga õigupoolest midagi peale hakata . 
16	NA	 Ohkasin ja tõstsin topise ukse kõrvale põrandale . 
16	NA	 Sinna jäi see õige mitmeks päevaks , kuni see end mulle väga ebameeldival kombel meelde tuletas . 
17	NA	 Juhtus see umbes nädala pärast . 
17	NA	 Mul oli olnud väsitav päev ning ainus , mida ma ihkasin , oli korralikult välja puhata . 
17	NA	 Nagu kiuste oli uni öö otsa rahutu ; mitu korda ärkasin mingite painajate peale . 
17	NA	 Kõige võikam neist jäi mu mällu selgelt , nagu oleksin vaadanud filmi . 
18	NA	 Lamasin oma voodis , kammitsetuna mingist halvaendelisest eelaimusest . 
18	NA	 Ma ei osanud seda oma ärevas unes selgemalt määratleda , kuid teadsin , et midagi kohutavat on kohe- kohe juhtumas . 
18	NA	 Tundsin mingit ebamäärast süütunnet , mõistmata samas , miks . 
18	NA	 Sellel oli seos millegagi , millega olin end tahtmatult sidunud , ja jõududega , mida ükski inimene polnud võimeline mõistma . 
18	NA	 Pinge kasvas , üritasin end asemelt lahti rebida , kuid ei suutnud . 
18	NA	 Ma teadsin , ma tundsin , et miski läheneb . 
18	NA	 Midagi suurt ja painavat ; midagi nii võimsat ja kohutavat , et ainuüksi sellele mõtlemine täitis keha värinaga . 
18	NA	 Tundsin , kuidas higi pooridest välja pressib ja võika aeglusega mööda keha voolab nagu müriaad külmi sajajalgseid . 
18	NA	 See oli nüüd lähedal , väga lähedal . 
18	NA	 See oli ukse taga . 
18	NA	 Ja uks avanes . 
