par_nr	head	sentence
1	 Nekromandi kombel 	 Nekromandi kombel 
2	NA	 Maniakkide Tänav 
3	 1 . 	 1 . 
4	NA	 Johannes seisis oma haua veerel ja püüdis teda ümbritsevast maailmast veidikenegi sotti saada . 
4	NA	 Mehele oli juba ammuilma selgeks tehtud , et tema kujutlusvõime on alla igasugust arvestust , kuid see ei tähendanud , et ta ei võiks vähemalt proovidagi . 
4	NA	 Mõtted olid imelikult hajevil , ei mitte hajevil , vastupidi , kuidagi veidralt kompaktsed . 
4	NA	 Lihtsalt see tunne oli nii imelik nagu oleks mõtted hajevil . 
4	NA	 Just , niiviisi kompaktselt , polnud ta juba tükk aega mõelnud . 
4	NA	 See oli ebameeldivalt ahistav tunne . 
5	NA	 Johannes uuris ümbrust . 
5	NA	 Ümberringi vihises tuul , valitses pimedus ja kohisesid haudade vahel puud . 
5	NA	 Surnuaed . 
5	NA	 Miks ta surnuaial oli ? 
5	NA	 Johannes hõõrus laupa , püüdes saada jagu kammitsevalt selgepärasest mõtlemisest . 
5	NA	 Ta pilk langes oma lahtimurtud hauale ja siis ta tardus . 
5	NA	 Laup ? 
5	NA	 Milline laup ? 
5	NA	 Tal polnud ju keha ! 
5	NA	 Polnud juba ... juba ammust ajast . 
5	NA	 Kui ammust seda ei osanud ta öelda sest surnud olles kaob ajataju . 
5	NA	 Või ajas ta midagi sassi ? 
5	NA	 Ei , sassi ei ajanud . 
5	NA	 Ta oli kindlasti surnud olnud , seda mäletas ta täpselt . 
6	NA	 Peale matust hakkas taju , aegamööda kehast vabanedes kaotama elu närvilisust ja rahunedes laiali vajuma . 
6	NA	 See oli olnud veider periood , räägiti , et mõned saavad sellest säärase trauma , et lööb nad lõplikult rivist välja . 
6	NA	 Johannesel oli aga vedanud . 
6	NA	 Tänu sellele , et ta oli oma surmaks valmistunud ei tulnud see piinarikas protsess talle ootamatult , pealegi leidis ta teiselt poolt kohe paar kaasaelajat , kes teda poputasid , kuni ta viimaks nende uute , värskeltsoetatud tuttavate toel suutis laibast eralduda ja ilma suurema šokita teise ilma sulandus . 
7	NA	 Mehel läks mõtlemine sassi , ta polnud juba ammust ajast mõelnud . 
7	NA	 Niiviisi konkreetselt . 
7	NA	 Ja nimetu , pealetükkiv hirm segas tal sellega uuesti korralikult alustamast . 
7	NA	 Mis oli juhtunud ? 
7	NA	 Kas oli tõesti võimalik , et ta oli taas tagasi , tagasi elavate seas ? 
8	NA	 Äkki oli see lihtsalt mõne silmamoondaja trikk , mõne eriti vägeva , mis suutis sundida teda näilisse kehasse vangi ? 
8	NA	 Vaevalt , pidi Johannes endale tunnistama — nii heast trikimehest polnud ta kunagi kuulnud ja vaevalt sellist olemas oligi ning pealegi — miks pidanuks säärane olevus teda kimbutama , ta ei tegelenud millegi säärasega , mis oleks võinud viia ta nende huviorbiiti . 
8	NA	 Miks peaks neid huvitama kiusata mingit luuletajat ? 
9	NA	 Johannese tajud , harjunud tabama ainult teisi omasuguseid ja nende tundeid tõrkusid tunnetamast külma reaalset maailma . 
9	NA	 Ei liivarajad , hauaplaadid ega suured krobelised puud polnud midagi sellist mis oleks teda vaimustanud . 
9	NA	 Põrgu eeskoda , vaat mis see tema jaoks oli . 
9	NA	 Ta tahtis , et see lõpeks juba , oli kohutav tunne olla taas seotud millegi kohmaka ja materiaalse külge mis ahistas su meeli nagu pähe tõmmatud kott . 
9	NA	 Ta tahtis tagasi kuid ei osanud selleks midagi ette võtta . 
10	NA	 Tohutu tahtepingutusega sundis Johannes oma keha liikvele . 
10	NA	 See oli vana , räsitud , mädanenud ja hädapäraselt taastatud kondibukett mis poleks mingi hinna eest vedanud edasi ühtegi elusolendit . 
10	NA	 Kuid Johannes ei olnud elusolend ning oma , elavatest määratult suurema tahtejõuga vedast ta haleda vare liikuma . 
11	NA	 Kooljas astus liikmete raksudes sammu , seejärel teise , kolmandaga jõudis ta sihile . 
11	NA	 Haud , millest surnu oli välja kistud , võttis ta uuesti vastu . 
11	NA	 Kolinal vajus tasakaalu kaotanud koolnu madalasse , pooleldi kinnivarisenud kraavi , mille mudasest põhjast turritasid välja murdunud kirstuplangud . 
11	NA	 Vaevaliselt üritas ebakindlate liigutustega skelett end taas matta . 
11	NA	 Asjatult kraapisid konksjad meeleheitel sõrmed armetule kehale mudast pläga peale . 
11	NA	 Iga tema hädise upitamise ajal uue pihutäie järele vajus eelmine kamalutäis kõhnade kontjate säärte vahele ja sealt keha alla ning pika , sihikindla kraapimise tulemusena avastas koolnu , et oli täis ajanud sellegi madala augu mis veel hauast järgi oli olnud . 
11	NA	 Tema ise lebas aga selle naeruväärse kuhjatise otsas . 
11	NA	 Seda taibanud kadus olevuse liigutustest jõud ning ta vajus ahastades letargiasse . 
12	NA	 Niiviisi , mitte midagi tundes , võimetu mõtlema ja mõistma , vedeles Johannes surnuaias mitu tuulist ja pimedat tundi . 
12	NA	 Vahepeal tibutas kerget uduvihma , kuid ta keeldus seda tajumast . 
12	NA	 Liiga kare oli vesi ja liiga rohmakad olid vormid . 
12	NA	 Alles aovalguse saabudes suutis kooljas end taas mõtlema sundida . 
13	NA	 Tagasi . 
13	NA	 Ta oli tagasi elamise põrgus ! 
