par_nr	head	sentence
1	 Ja lööb Kell ja Kurjus pääseb valla ... 	 Ja lööb Kell ja Kurjus pääseb valla ... 
2	NA	 Veiko Belials 
3	NA	" "" Ja lööb Kell ja Kurjus pääseb valla . "
3	NA	" Ja Maailm saab hukka , sest nii on seatud , kui Kell lööb , et Kurjus neelab ära kõik ja ei jää mitte midagi ... "" "
4	NA	 Rüütel Reginald kannustas hobust kiiremale sõidule . 
4	NA	 Tüdinud sirgetest tolmunud teedest , juhtis ta ratsu metsa ja kihutas jämedate puude vahel suunda valimata edasi . 
4	NA	 Tuul vihises kõrvus , puud vilksatasid mööda ja sir Reginald naeratas . 
5	NA	 Viimased nädalad olid ta täiesti ära vaevanud . 
5	NA	 Ei ühtki kangelastegu , ei ühtki kahevõitlust , isegi lihtlabastesse kõrtsikaklustesse polnud ta sattunud . 
5	NA	 Ta raius puude oksi , et elada välja käsivartes pulbitsevat energiat . 
6	NA	 Lõpuks pidas ta hobuse kinni . 
6	NA	 Mets oli muutunud tihedaks ja läbitungimatuks , puud kõrgusid ähvardavalt ta kohal , sirutades tema poole luidraid oksi . 
6	NA	 Ümbrus oli võõras . 
7	NA	 Eksinud ! 
7	NA	 Seegi asi , mõtles sir Reginald . 
7	NA	 Ikkagi mingisugune vaheldus . 
7	NA	 Ta ronis hobuse seljast maha ja asus looma ratsmeidpidi talutades endale mõõgaga teed tegema . 
8	NA	 Elu oli talle õpetanud , et kui piisavalt kaua mingis suunas minna , jõuab lõpuks ikka kusagile välja . 
8	NA	 Ja kuna tal oli ükspuha , kuhu jõuda , läks ta huupi , tungides aina sügavamale padrikusse . 
9	NA	 Siin võib veel mõnda Seiklust kohata , arutas sir Reginald omaette , silmitsedes aina süngemaks muutuvat maastikku . 
9	NA	 Mõni lohe või hiiglane ... 
9	NA	 Kasvõi troll , lõpuks ... 
9	NA	 Ja et saaks kedagi päästa või aidata ... 
10	NA	 Ilm tõmbus pilve , hämardus . 
10	NA	 Kusagilt tuli tuul , rappis puid ning virutas oksapuru ja prahi rüütlile näkku . 
10	NA	 Sir Reginald jäi seisma . 
10	NA	 Mets oli hiirvaikne . 
10	NA	 Tundus , et ta hoiab hinge kinni ja kuulatab midagi või kedagi . 
11	NA	 Reginald , vapper rüütel , sidus hobuse puu külge , haaras mõõga kindlamini pihku ja astus ettevaatlikult edasi . 
11	NA	 Sajakonna sammu pärast jõudis ta avarale lagendikule ja peatus . 
12	NA	 Keset lagendikku seisis iidne kellatorn . 
12	NA	 Ta vana , samblassekasvanud keha sihtis Saatuse krobelise sõrmena madalat rasket taevast . 
12	NA	 Jäi mulje , et torn ulatub pilvedeni . 
12	NA	 Hetkel , kui rüütel lagendikule astus , sähvatas välk ja selles tontlikus valguses nägi sir Reginald Teda — Koletist . 
13	NA	 Koletis laskus torni katuselt , silmitsedes rüütlit hõõguval pilgul ja urises ähvardavalt . 
13	NA	 Ta ei kiirustanud ründama , ta paistis hoiatavat — mine oma teed , rändaja , ja ära tülita mind . 
13	NA	 See torn on minu ! 
14	NA	 Kuid sir Reginald ei kavatsenud minna , ei , nüüd enam mitte . 
14	NA	 Ta polnud ju nii ammu kedagi päästnud , nii ammu kellegagi võidelnud ! 
14	NA	 Ja nüüd korraga torn , mida valvab Koletis . 
14	NA	 Tühja torni Koletis ei valvaks ! 
14	NA	 Seal peab midagi olema , midagi valvamisväärset . 
14	NA	 Mõni printsess näiteks , keda vabastada . 
14	NA	 Või varandus , mis on isegi veidi etem variant , kui järele mõtlema hakata . 
15	NA	 Sir Reginald tormas rünnakule . 
15	NA	 Koletis möirgas ja lagendik sai möirgamist täis ja möirgamine summutas kõuekärgatused , kuid vaprat rüütlit see ei peatanud . 
15	NA	 Ta tungis aina edasi ja tema mõõk sähvis välkudega võidu . 
16	NA	 Viimaks Koletis langes ega liigutanud enam . 
16	NA	 Verine mõõk käes , astus rüütel kellatorni ja ahhetas ootamatusest — torn oli tühi ! 
16	NA	 Ta uuris kõledaid seinu ja tõstis siis pilgu . 
16	NA	 Kusagil kõrgel aimus hiiglaslik kell . 
16	NA	 Kellanöör rippus käeulatuses . 
