par_nr	head	sentence
1	 Tagasi tulevikku IV 	 Tagasi tulevikku IV 
2	NA	 Indrek Hargla 
3	NA	 Hill Valley , California 
4	NA	 1986 , 11. juuli 
5	NA	 Mis te arvate , kuidas on käia tüdrukuga , kes teab , kuidas teie ühine tulevik välja näeb ? 
6	NA	 Mitte ainult , et ta ei tea - milline naine ei teaks täpselt tulevikku , eks ole - vaid , et ta on seda ka näinud . 
7	NA	 Ja mis kõige hirmsam - ta on näinud ennast vanana ja ta on näinud teid , tema abikaasat ennasttäis kehkenpüksina . 
8	NA	 Ühesõnaga , milline võib olla kooselu tüdrukuga , kes on käinud teie ühises tulevikus ? 
9	NA	 Tõtt-öelda , ei käinud ta tulevikus üksi , mina olin seal samuti ; aga hetkel , mil Jennifer sattus meie tuleviku minade peale , olin mina hõivatud ühe neetud spordialmanahhi tagasipätsamisega . 
9	NA	 See oli muidugi Doc , kes kõike seda korraldas , ent nagu alati , läks midagi nässu ja ma ei tea siiamaani , kas me oleme oleviku nüüd õigesse rööpasse saanud . 
9	NA	 Või tuleb meil jälle minna tagasi ... tagasi tulevikku ? 
10	NA	 Doc ütleb küll , et oma tulevikku ei tohi teada . 
10	NA	 Me peame olema oma otsustes vabad ja käima südametunnistuse järgi - tuleviku teadmine ruineeriks meid ja midagi pole kirjas , tulevik on selline , milliseks me ta ise teeme ... ja nii edasi . 
10	NA	 Mis tal viga rääkida - Doci tulevik on minevikus , Claraga . 
10	NA	 Kui Doc ainult teaks , et ma olen nüüd Hill Valley ajaloo põhjalikult läbi uurinud , tuhlanud korduvalt isegi mööda surnuaia vanu soppe , ega pole leidnud enam ühtegi sissekannet kellestki Emmett L. Brownist , kes oleks surnud siin sajandivahetuse paiku . 
10	NA	 Jah , meist on üks ülesvõte , millel me seisame vastvalminud kellatorni ees , aga see on ka kõik . 
10	NA	 Doc ei surnud Hill Valley's . 
10	NA	 Esimesed Brownid - siis õigupoolest von Braunid - tulid Hill Valley'sse 1908 ning muutsid oma nime Browniks Esimese maailmasõja ajal. 
10	NA	 Ma arvan , et Doc oli piisavalt taibukas selleks , et mitte jääda samasse linna koos oma esivanematega ja valis elamiseks mõne kõrvalisema koha . 
11	NA	 Õigupoolest on Doc praegu kuulutatud teadmata kadunuks ja varsti kuulutatakse ta vist surnuks ja tema vara läheb pärijatele , kui neid juhtub muidugi olema . 
11	NA	 Mul on raske leppida mõttega , et Doc on surnud , ma arvan ikka , et ta on mõnes teises ajakontiinumis ja minuga samal ajal , kuid see ei tee kergemaks teadmist , et pidi surema umbes ajal , kui minu vanaisa sündis . 
12	NA	 Ja mina pean siin nüüd hakkama saama pruudiga , kes teab täpselt , kuidas meie elu tulevikus saab olema . 
13	NA	 Minu nimi on Marty McFly , ja pagan võtku , ma olen selle üle uhke . 
