par_nr	head	sentence
1	 Taadeldus 	 Taadeldus 
2	NA	 Ma saabusin õhtul loengutest koju Annelinna ja märkasin oma imestuseks , et Ults ( tüüp , kellega ma Suhtlen ) passis viiekordse paneelmaja ees , kus ma ühelt abielupaarilt tuba üürisin . 
2	NA	 Minu imestus oli eriti ehe seetõttu , et tavaliselt eksis Ults Annelinna kivihoonete rägastikku ära ning leidmata teed minu maja juurde ( millest ta võis olnud vabalt neli korda mööda käinud , seda ära tundmata ) , töllerdas niikaua ringi , kuni leidis mõne taksofoni ja helistas mulle , kirjeldas ümbrust ning palus end üles korjata . 
3	NA	" "" Ahhaa , "" hüüatas Ults tervituseks , ise kõrvuni sui irvitades . "
3	NA	 Ma ei ole kunagi aru saanud , mille üle ta niiviisi pidevalt rõõmustab , kogu aeg on tal nägu nagu moosiga koos . 
3	NA	" "" Ots ringi ja siva linna tagasi , "" kilkas ta ning haaranud mul küünarnukist , kukkus tuldud teed tagasi lohistama . "
4	NA	" "" Noh , mis nüüd ? "" keerasin malbelt , aga otsustavalt end tema kaenlast vabaks ja jäin kõigi Ultsi pingutuste kiuste seisma . "
5	NA	" "" "" Illusioonis "" on jube hea film , "" seletas Ults . "
5	NA	" "" Kui me kibekähku ei tee , siis ei jõua ! "" "
6	NA	" "" Rumal , "" naersin ta entusiastlikku tormakust , "" lase ma viin asjad tuppa ära , nii kiire nüüd ka ei ole . "" "
7	NA	" "" On , on , tavai ma võin su kola ise tassida , kui tahad . "" "
8	NA	 Pidin pikali kukkuma . 
8	NA	 Tema , kes kõik , mis tasku ei mahtunud üritas esimesel võimalusel kuhugi sokutada , pidades seda liigseks , pakkus nüüd niisugust teenust . 
9	NA	" "" Mis sa rahmeldad , ma elan ju siinsamas esimesel korrusel . "" "
10	NA	 Ults oli silmnähtavalt millegipärast pabinas , tema irvitus oli asendunud isevärki viril-äreva naeratusevarjuga . 
10	NA	 Kaastundlikult talle otsa vaadanud , pöörasin ringi ja läksin uksest sisse . 
10	NA	 On tal alles tuli takus , imestasin endamisi . 
10	NA	 Mis teha , mis teha . 
11	NA	 Korter iseenesest oli pime , ainult köögist paistis läbi klaasukse küünlaleegi vilkumist . 
11	NA	 Panin koridoris tule põlema.Tegusalt trügis Ults minu järel uksest sisse . 
11	NA	" "" Tempo , tempo , "" närvitses ta . "
11	NA	" "" Sips sisse , sips välja ja plagama . "" "
12	NA	" "" Miks nad küünalt põletavad , "" imestasin . "
13	NA	" "" Üks küünlajupp siia-sinna , põletagu minupärast või maja maha , "" pomises Ults ja trügis mind toa poole . "
14	NA	" "" Jäta järgi , "" vaatasin talle solvunult otsa . "
14	NA	 Tavaliselt ta nii ülemäära tormakas ei olnud . 
14	NA	" Otse vastupidi , tema motoks oli — "" Iga asi oma optimaalsel ajal või veidi-veidi hiljem . "" "
15	NA	" "" Las ma ütlen vähemalt teregi ! "" "
15	NA	 Lükkasin köögiukse lahti ja klõbisin laetule põlema . 
15	NA	 Juhtub . 
16	NA	 Röötskil laua peal lamas korteriperemehe ilma peata keha . 
16	NA	 Käed kallistavalt ümber kaelast purskunud vereloigu . 
16	NA	 Köök tillukesi liha- ja luutükke täis . 
17	NA	 Pöördusin . 
17	NA	 Ults vedas näole naeratusegrimassi ja laiutas vabandavalt käsi . 
17	NA	" "" Kogemata , "" selgitas ta takerduval häälel . "
17	NA	 Mind läbis imelik vabin . 
17	NA	 See ei lakanud . 
17	NA	 Hais . 
17	NA	 Ettevaatlikult talutas Ults mu vist välja . 
17	NA	 Vist välja . 
17	NA	 Tuled jäid põlema . 
18	NA	" "" Lähme Widgeti juurde , "" ütlesin . "
18	NA	 Widget oli kursaõde , kes elas siinsamas Annelinnas . 
18	NA	 Tee peal üritas Ults mulle asja selgitada . 
19	NA	 Vaata , ütles ta : 
20	NA	 Sa tead , et ma tegelen väikest viisi kübermentaalmehaanikaga . 
20	NA	 See on teooria , mis väidab , et inimvaim on tehislikku päritolu . 
20	NA	 Mittemateriaalsel tasandil kokku pandud kübermehhanism , tehisintellekt . 
20	NA	" Maniakkide Tänav , selle ala esimene teoreetik , mainis mentaalmehaanikat oma teoses "" Õpetus surnutest "" , kuid seda väga pealiskaudselt ja põgusalt , sest tema peamine huvi oli suunatud Kehade , ehk nagu ta väitis — Pärisinimeste vastu . "
20	NA	" Need on inimesed , kes on surnud , ehk kui tsiteerida Man.T- i ennast : "" Tehislikult neisse kehadesse monteeritud kübermehhanismidest vabanenud organismid , mis ajapikku vapustustest vabanedes hakkavad taas oma elu elama , pöördudes tagasi oma loomulikku keskkonda . "" "
20	NA	 Tema oli nekrosotsioloog — praktik surnute elu-olu ja teoreetik mentaalmehaanika alal . 
20	NA	 Mina aga tõestasin tema teooriad praktikas . 
21	NA	 Ebamateriaalsus , milles need mentaalraalid töötavad , asub üsna ligidal helivönkesagedusele , ainult mõni nõks neist edasi . 
21	NA	 Mul õnnestus konstrueerida Pill , aparaat , millega end võnkesse viia ja transportida oma energeetilise , biovälja Mina ebamatti ( ebamateriaalsusse ) . 
21	NA	 Ka vastupidi on võimalik , transportida see tehisintellekt matti ( materiaalsusse ) . 
21	NA	 Ükskõik siis , kas koos bioMinaga või ilma . 
21	NA	 A sellega on veel probleeme — materiaalsuses kärssab see mõne sekundiga läbi ja muutub mingiks känkraks . 
21	NA	 Juhtub . 
22	NA	" "" Mis see siia puutub ? "" küsisin . "
23	NA	 Vaata : 
24	NA	 Ma tulin sind kinno meelitama , aga kuna sa polnud veel tulnud , siis kutsus korteriperemees mind sellest hoolimata sisse , juttu puhuma . 
24	NA	 Noh , ma panin tähele , et tema mentaalraalil on viirus sees , vennike ajas segast ja üldse ... 
25	NA	" "" Jah , "" nõustusin . "
25	NA	" "" Ta on paberitega . "" "
26	NA	" "" Mis paberitega ? "" ei taibanud Ults kohe . "
27	NA	" "" Nendega mis tõendavad , et tal kruvid logisevad . "" "
27	NA	 Juhtub , eks ole . 
