par_nr	head	sentence
1	 Choronzon 	 Choronzon 
2	NA	 Maniakkide Tänav 
3	NA	 kõik , kes nõiakunstist midagi teadsid , visati kas vette või põletati kaua aega tagasi , nii et nüüdisajal tehakse nõiakunsti nagu parasjagu juhtub . 
4	NA	" "" Okultism "" Alexander C. Rae "
5	NA	 Koju jõudnult ei hakanud Votokas kingigi jalast võtma . 
5	NA	 Virutas ainult pintsaku toolileenile ja hakkas küünlaid-klaase kokku otsima . 
5	NA	 Klaase sai kummalegi üks ja küünlaid oli kogu majapidamise peale viis . 
6	NA	" "" Nii , "" sõnas ta siis Meetsile , kes juba pudeleid lahti korkis . "
6	NA	" "" Selle laua lükkame siit seina äärde . "
6	NA	 Eks ole . 
6	NA	 Nii . 
6	NA	" Ja vaiba keerame rulli . "" "
7	NA	" "" Ära sa seda asja nii keeruliseks ka aja , sõber fotograaf , "" rahustas teda Meets . "
7	NA	" "" Istume ikka toolidel . "
7	NA	 Ja küünlaid pole ka vaja . 
7	NA	 Jood paar klaasikest veini ära ja pea see tuluke silmas ei ole . 
7	NA	" Loidad nagu väike päike siin . "" "
8	NA	" "" Ära sega , ma olen tahtmist täis . "
8	NA	 Need põrgulised jumalakuulutajad ajasid mul pargis hinge päris mustaks . 
8	NA	" Mu kuntsnikuhing vajab praegu ATMOSFÄÄRI ! "" "
9	NA	" "" Tee aken lahti kui sa atmosfääri vajad , "" arvas Meets ja valas välja . "
9	NA	 Aga juba vedas Votokas kriidiga põrandale kaks ringi . 
9	NA	 Sisemisse joonistas veel viisnurga ja sokutas selle iga haru otsa ühe küünla . 
10	NA	" "" Ahhaa ! "" hüüatas ta seejärel , lõi Meetsiga kokku , jõi põhjani ning hakkas raamaturiiulis sobrama . "
11	NA	" "" Mul pidi siin kuskil üks okultismiraamat olema , "" seletas ta ise . "
11	NA	 Rõõmsa hüüatuse saatel tõmbas ta välja pisiblufi käsiraamatu . 
12	NA	" "" Ma'i teadnudki , et sa maagia vastu huvi tunned , "" mainis Meets . "
13	NA	" "" Ei tunnegi , mind huvitavad tegelikult need pisiblufi raamatud . "
13	NA	 Igast targast tellisepaksusest entsüklopeediast kõrgelt üle . 
13	NA	 Asendamatud abimehed igas vallas . 
13	NA	" Nagu praegugi . "" "
13	NA	 Ta lehitses natuke närviliselt lehti . 
13	NA	" "" Roosiristlased , "" pomises ta . "
13	NA	" "" Võlurid , Crowley , kaosedeemon ... "" "
14	NA	 Siis leidis ta õige koha , luges näpuga järge vedades ja toppis raamatu rahulolematult tagasi . 
15	NA	" "" Mingi jamps , "" seletas ta ise . "
15	NA	" "" See liiga keeruline , meie ajame lihtsama õhustikuga läbi . "" "
15	NA	 Ta tassis ringi sisse toolid ja pudelid . 
16	NA	" "" Anna tikku , "" käsutas ta Meetsi . "
16	NA	 Saanud küünlad põlema , sikutas Votokas paksud kardinad ette . 
17	NA	 Pidulikult seisti hämaruses põlevate küünalde keskel . 
18	NA	" "" Proosit , "" ütles Meets . "
18	NA	 Võeti põhjani ja valati klaasid uuesti täis . 
19	NA	" "" Päris hea atmosfäär , eks ole ? "
19	NA	" Mitte mingi labane trimpamine , "" arvas Votokas uhkelt . "
20	NA	" "" Nojah , "" kehitas Meets õlgu . "
20	NA	" "" Kui sa veel sobiva muusikalise tausta ka orgunnid , siis võib juba kergelt kuradeid nägema hakata . "" "
21	NA	" "" Muusika ! "
21	NA	 Väga hea mõte ! 
21	NA	" Kuidas ma ise selle peale ei tulnud . "" "
22	NA	 Veidi aega sagis Votokas tikutule valgel toas ringi . 
23	NA	" "" Ahhaa ! "" hüüdis ta makki mängima pannes . "
23	NA	 Masendav muusika täitis toa maast laeni . 
24	NA	" "" Kas näed juba kuradeid ? "" päris Votokas kui nad olid istunud ja teisegi klaasi põhjani limpsanud . "
25	NA	" "" Ei , mitte halligi ei näe . "" "
26	NA	" "" Mis jutt see on ! "
26	NA	 Või tema ei näe , häh ! 
26	NA	" Võtame ! "" "
27	NA	 Võeti . 
28	NA	" "" Noh , kaosedeemon või misasi sa oled ! "" hakkas Votokas kergelt praalima . "
28	NA	" "" Tule välja , kui mees oled . "
28	NA	" Ja kui oled naine , seda parem , tule , istu mu põlvele . "" "
28	NA	 Nad olid juba pargis paar õlut ära joonud ning ega Votokas palju kannatanud ka ning kui kristalselt aus olla , siis meeldis talle kainenagi huilata . 
29	NA	" "" Kamoon ! "
29	NA	" Võhadi podlõi trus ! "" õitses ta praegugi oma lemmikväljenditega . "
30	NA	 Meets muigas ainult ja korkis uut pudelit lahti . 
30	NA	 Küünlaleekide hubisemise tõttu tundus talle , nagu oleks mööbel vahepeal värisenud . 
31	NA	" "" Siin on tõesti atmosfääri , "" mõtles ta . "
31	NA	" "" Hakka või kartma . "" "
32	NA	" "" Kas sa tead , mispärast mul seda deemonit vaja on ? "" küsis Votokas . "
33	NA	" "" Atmosfääri jaoks , "" arvas Meets . "
34	NA	" "" Ei , ma tahan talt üht teenet paluda ! "" "
35	NA	" "" Soh ? "" "
36	NA	" "" Jaa-jaa , "" noogutas Votokas kurvameelseks minnes , "" ma tahan andekaks saada . "
36	NA	" Geeniuseks . "" "
37	NA	 Meets pidi endale peaaegu veini hingekurku ajama . 
38	NA	" "" Sina ja andekaks , ära aja naerma . "
