par_nr	head	sentence
1	 Viimane ülesanne 	 Viimane ülesanne 
2	NA	 Veiko Belials 
3	NA	" "" Daamid ja härrad . "
4	NA	 Pöördun järgmise palve/ettepanekuga . 
4	NA	 Tuli kange tahtmine kirjutada mõni paroodia ja ühe saingi valmis ( Berg ) . 
4	NA	 Ja läks mõte vähe suurema projekti peale . 
4	NA	 Nii et kõigepealt tahaks paroodiate subjektide käest nõusolekut paluda , et ega kellelgi midagi vastu pole . 
4	NA	 Olen mõelnud nii , et on raam ( Belialsi/Simpsoni Existerion ) , mille sisse paigutuksid lühemad lood ( 1-2 lk ) . 
4	NA	 Ja kavatsengi parodeerida Orlaud , Veskimeest , Caini , Bergi . 
4	NA	 Aga mure on veel selles , et äkki viitsiks keegi ka Hargalt parodeerida , et siis saaks need asjad kokku kleepida . 
4	NA	" "" "
5	NA	 Nii kirjutas Indrek Hargla 24. mail . 
5	NA	 Ja sellest kirjast ajendatuna sündis järgmine lugu , mis loodetavasti sisaldub selles Indreku suuremas projektis , nagu ka lugu , mille ma Indreku eelnevale palvele vastu tulles Grpowski kohta kirjutasin . 
6	NA	" "" Peatus ! "" kamandas Willard , WSA turvateenistuse erirühma juht , väsinult . "
6	NA	" "" Jacks , Ricardo , hoidke ümbrusel silm peal . "
6	NA	" "" "
7	NA	 Mehed noogutasid vaikides ja kadusid hääletult rohekasse hämarusse , teised toetasid end kergendustundega väänlevate tüvede vastu , pühkisid higi ja üritasid puhata . 
7	NA	 Nad sumpasid teist päeva selles neetud mülkas , mis meenutas mangroovisood , ning maskeerimismaalinguid , mis nad eelmisel hommikul näole olid kandnud , polnud enam tarvis /mdash ; nad olid niikuinii pealaest jalatallani sopaga koos . 
8	NA	" "" Kuule , pealik , mida või keda me seekord otsime ? "" päris Olafsen , viikingikasvu norralane , tülpinult . "
9	NA	 Willard õngitses pluusitaskust filtrita Cameli ja klõpsas vanamoodsa bensiinitulemasinaga põlema . 
10	NA	" "" Pole aimugi , "" raputas ta suitsu pahvides pead . "
10	NA	" "" Ei peetud vajalikuks seletada . "
10	NA	 Ainus , mida ma tean , on see , et mingi eksperiment on jälle kontrolli alt väljunud ja et me peame silmad lahti hoidma . 
10	NA	 Kõrgem salastatuse aste . 
10	NA	 Kõrgem ohu aste . 
10	NA	 Ja kõrgem tasustamise aste . 
10	NA	" "" "
11	NA	" "" Hobusepask ! "" pomises Olafsen . "
12	NA	 Planter ja Davidson vahetasid murelikke pilke . 
12	NA	 Nemad , nagu ka poolakas Pozniewsky , keda kõik Pan'iks kutsusid , kõhetu korealane Li-jen ja Switsky , kelle rahvust keegi ära ei osanud arvata , olid rühmas uued . 
12	NA	" "" Rohelised "" , nagu Dutch rahulolevalt märkis . "
13	NA	 Jacks ilmus välja nagu lummutis . 
13	NA	 Willard ei suutnud ikka veel lõpuni harjuda indiaaniküti verd kaaslase hääletu oleku ja erakordse ohutajuga , mis tegi ta piiluri ja valvurina asendamatuks . 
14	NA	 Willard kustutas suitsu ja vaatas Jacksile küsivalt otsa . 
15	NA	 Too raputas tummalt pead , nii et kotkasulg ta juustes pendeldama hakkas . 
16	NA	" "" Ei meeldi see kõik mulle , seeru , "" lausus ta sosinal , kasutades Willardi kunagist , sõjaväeaegset , auastet . "
16	NA	" "" Kuula ! "
16	NA	 Kuuled sa midagi ? 
16	NA	 Vaata ringi ! 
16	NA	 Näed sa midagi ? 
16	NA	" Ei meeldi mulle see hääletu ja liikumatu maailm ! "" "
17	NA	 Willard vaatas ringi . 
17	NA	 Seda , et soos oli vaikne , oli ta juba ammu märganud . 
17	NA	 Nüüd pani ta aga tähele , et vaikus oli tõepoolest kõikehaarav . 
17	NA	 Ei ühtegi heli peale nende , mis mehed tekitasid . 
17	NA	 Ja ka need sumbusid kohe . 
17	NA	 Ja mis veelgi kummalisem /mdash ; kogu maastik oli liikumatu . 
17	NA	 Päikese viltused kiired , mis läbi puude võrade soo liikumatut pinda valgustama küündisid , seisid paigal . 
17	NA	 Ei värelust , ei võbinat . 
17	NA	 Ükski oks , ükski leht ei liikunud . 
17	NA	 Ja ka kiired ise ... 
17	NA	 Päeva edenedes oleksid need pidanud suunda muutma . 
17	NA	 Ja langemisnurka ... 
18	NA	 Willard nipsas koni minema ja jälgis selle lendu . 
18	NA	 See kukkus mustavasse vette ja kadus . 
18	NA	 Hääletult . 
18	NA	 JA RINGE JÄTMATA ! 
19	NA	" "" Raisk ! "" vandus ta ja haaras oma 9-millimeetrise Star Z-84 tüüpi püstolkuulipilduja . "
19	NA	 Mehed vabastasid tema eeskujul oma MAC-id kaitseriividest ja koondusid ringi . 
20	NA	" "" Mis me teeme , Will , "" päsis Olafsen sosinal . "
21	NA	" "" Me peame sellest neetud soost välja pääsema . "
21	NA	 Jacks , sina juhid . 
21	NA	" Kus Ricardo on ? "" "
22	NA	" "" Patrullib , "" vastas Jacks ja huikas vaikselt . "
22	NA	 Hääl sumbus kohe , kuid ilmselt oli mehhiklane seda siiski kuulnud , sest ta ilmus kohale , automaat laskevalmis . 
23	NA	" "" Olaf /mdash ; sina katad Ricardoga tagalat . "
23	NA	" "" Rohelised "" keskele . "
23	NA	 Ja sina , Dutch , hoia neil silma peal . 
23	NA	 Igaks juhuks . 
23	NA	" "" "
24	NA	 Dutchi kirikuõpetaja-ilme väändus hapukasse grimassi . 
25	NA	" "" Lähme , lasteaed ! "" pomises ta löödult . "
26	NA	 Nad sumpasid minema ja nende sammud ei tekitanud soo liikumatusse pinda vähimatki lainetust . *** 
27	NA	 Põrgu läks lahti pisut pärast lõunat . 
27	NA	 Willard oli just harjumuse sunnil pilgu päikese poole tõstnud , et kellaaega ja asukohta määrata ( see oli kiirem ja mugavam moodus , kui kella ja kompassiga jamamine ) , kui tardunud valgusvihkude nägemine talle nende olukorda meenutas . 
27	NA	 Ta vandus vaikselt ja samal hetkel lülitati päike nagu suur lamp välja . 
27	NA	 Korrapealt valitses ümberringi pilkane pimedus . 
28	NA	" "" Öise nägemise seadeldised ! "" kamandas ta sekundikski enesevalitsust kaotamata ja tõmbas elektroonikat täispikitud optika ette . "
28	NA	 Soe vesi läikis läbi seadeldise rohekalt , puud moondusid mustavateks varjudeks . 
28	NA	 Mehed jätkasid Jacksi juhtimisel teed , kui Davidson ootamatult mülkasse sattus . 
28	NA	 Olafsen oli esimene , kes teda välja tõmmates mõistis , et midagi on valesti . 
29	NA	" "" Will , jalad ! "" hüüatas ta äkki hoiatavalt . "
30	NA	 Willard pööras pilgu allapoole . 
30	NA	 Esimene asi , mida ta märkas , oli halvenenud nähtavus . 
30	NA	 Esimese hooga mõtles ta , et seadeldise toide jupsib , kuid taipas siis . 
30	NA	 Ta oli juba mõnda aega tundnud , et jalgu liigutada on üha raskem . 
30	NA	 Esialgu oli ta selle mülka arvele kirjutanud ja muretsenud vaid , et keegi teine peale Davidsoni sisse ei vajuks . 
30	NA	 Nüüd äkki taipas ta , mis tegelikult teoksil on . 
30	NA	 Soo jahtus . 
30	NA	 Ja kiiresti . 
31	NA	" "" Soo hangub ! "" röögatas ta . "
31	NA	" "" Jalad käima , kui te kinni ei taha jääda ! "" "
32	NA	 Mehed sikutasid jalad üha tahenevast pinnasest välja ja tammusid nagu kari pühvleid . 
32	NA	 See oleks olnud naljakas . 
32	NA	 Aga ei olnud . 
32	NA	 Jalgu välja sikutada oli üha raskem , aga kui tekkis esimene kirmetis , läks kergemaks . 
32	NA	 Nad ei vajunud enam kohe läbi ning pikapeale õnnestus neil esialgu veel haprale pinnale püsima jääda . 
32	NA	 Vaid Li-jen oli ühte jalga pidi kergelt kinni jäänud . 
32	NA	 Ja loomulikult Davidson , kelle nad selle müttamise käigus olid unustanud . 
32	NA	 Davidson istus vööst saadik sees ja ainus hea asi oli see , et ta enam ei vajunud . 
32	NA	 Aga teda ei saanud ka välja tõmmata . 
33	NA	 Willard lükkas kasutuks muutunud öise nägemise seadeldise otsmikule ja süütas sellesse monteeritud tillukese prožektori . 
33	NA	 Sile must pind jalge all meenutas asfalti . 
33	NA	 Ta põrutas paar korda prooviks jalaga ja noogutas siis . 
34	NA	" "" Labidad ! "" kamandas ta . "
34	NA	" "" Kang oleks parem , kuid seda meil pole . "
34	NA	" "" "
35	NA	 Veel mõned prožektorid süttisid ning Switsky ja Pan , kes olid varustuse hulgast kokkupandavad sapöörilabidad välja otsinud , asusid Davidsoni lahti päästma . 
35	NA	 Pinnas oli rabe ja murdus kergesti ning näis juba , et Davidsoniga rohkem probleeme ei teki . 
35	NA	 Nad eksisid . 
35	NA	 Dutch oli just käe sirutanud , et Davidson välja tõmmata , kui too äkki nagu šampusepudeli kork avardatud august välja lendas . 
35	NA	 Tema järel purskus august välja simipimestava valguse voog , mis Dutchi sõrmeotsad minema viis ja Li-jeni , kellel ainsana öise nägemise seadeldis veel ees oli , pimedaks tegi . 
35	NA	 Ka teistel tulitasid silmad veel pikalt pärast seda , kui valgussammas juba kadunud oli ja nägemine taastus . 
36	NA	" "" Kas sa nägid sama , mida minagi ? "" sosistas Olafsen , kes oli Willardile külje alla nihkunud . "
37	NA	 Willard noogutas süngelt . 
37	NA	 Ta oli arvanud , et nägemine teda petab , liialt jube oli vaatepilt , mis talle enne pimestumist valgussambas avanes . 
37	NA	 Davidson tõmbles hääletult karjudes valgusvoos ja teda oleks nagu läbi valgustatud /mdash ; keha oli kadunud ning skelett paistis . 
37	NA	 Siis nägemine kadus ja see säästis teda edasisest . 
38	NA	 Olafsen osutas silmadega jalge ette . 
38	NA	 Willard vaatas ja nägi paari konti , siledat , otsekui poleeritut . 
39	NA	" "" Pask , "" pomises ta Olafseni lemmikväljendit laenates ning taipas alles siis , et näeb ilma öise nägemise seadeldiseta . "
39	NA	 Päikest polnud endiselt , kuid puutüved olid hakanud kergelt helendama . 
39	NA	 Sellest piisas , et ümbrust eristada . 
40	NA	" "" Läksime ! "" hüüatas ta . "
40	NA	" "" Eluga ! "" "
41	NA	 Mehed hakkasid sõnagi lausumata liikuma . 
41	NA	 Tahkunud soo oli sile nagu asfaltplats ja peagi lasid kõik kerget sörki , isegi Li-jen . 
41	NA	 Soo kõmas , nagu jookseksid nad suurel trummil ja see kõmin kasvas . 
41	NA	 Maapind jalge all hakkas sammude rütmis võnkuma ja enne kui Willard mehi hoiatada jõudis , hakkas see pragunema . 
41	NA	 Kiiresti laienedes ning lõhanguid ja kuristikke moodustades jooksid praod raginal laiali . 
41	NA	 Willard , kes kartis , et pragudest ilmub taas see seletamatu ja tappev valgus , hingas kergendatult /mdash ; praod olid küll ohtlikud ja ähvardasid neid üksteisest eraldada , kuid mingit valgust sealt enam ei paistnud . 
42	NA	 Pani karjatus sundis Willardi ümber pöörduma . 
42	NA	 Poolakas oli hetkeks seisma jäänud , et ohutumat suunda valida , kui pragu otse ta jalge all avanes . 
42	NA	 Willard jõudis veel näha ta kätt , mis serva külge üritas klammerduda , siis kadus seegi . 
42	NA	 Ta hüppas lähemale ja kummardus üle ääre vaatama , kuid põrkus siis pööritust tundes tagasi . 
42	NA	 Hetkeks tundus talle , et ta on hulluks läinud , nii võimatu näis pilt , mis silmadele avanes . 
42	NA	 Kuristikust ta jalge all paistis sügavmust lõpmatus , mis oli tähti täis . 
42	NA	 Kõle kosmiline tühjus näis kutsuvat ning Willard taganes pikkamisi , näidates kaaslastele , et nood eemale hoiaksid . 
43	NA	 Alles kümnekonna sammu kaugusel andis tühjuse tõmme niipalju järele , et Willard sai end ümber pöörata . 
43	NA	 Olafseni küsiva pilgu peale raputas ta vaid pead ja norralane ei hakanud rohkem pärima . 
43	NA	 Willard lasi pilgul hindavalt ringi käia . 
43	NA	 Pragunemine oli lõppenud ja väike salk seisis otsekui keset hiiglaslikku ämblikuvõrku , mis neil tee igas suunas ära lõikas . 
43	NA	 Siiski ... mitte igas suunas . 
43	NA	 Lõuna pool avanes kitsuke läbikäik.Willard krimpsutas nägu . 
43	NA	 Talle ei meeldinud , kui talle midagi peale sunniti . 
43	NA	 Nüüd ei olnud neil aga valikut ja ainus tee võis tähendada lõksu . 
43	NA	 Ta ohkas ja viipas käega . 
43	NA	 Mehed läksid liikvele . *** 
44	NA	 See oli lõks . 
44	NA	 Rada lõppes ovaalse platsiga , millel hiiglaslikele puudele sarnanevad sambad pööristena ringi kihutasid . 
44	NA	 Rada nende selja taga hakkas pragunema , sundides neid aina edasi , vastu nendele hullunud titaanlikele vurridele . 
44	NA	 Nagu vari , vilksatas Willardi teadvuses korraks midagi tuttavlikku , kuid tal polnud aega järele mõelda , mis see oli . 
44	NA	 Üks sammastest sööstis otse Li-jeni poole ja korealane , kelle nägemine ikka veel polnud taastunud , pööras end välkkiirelt ümber , laskus ühele põlvele ning tõstis raketiheitja . 
45	NA	" "" Ei ! "" hüüatas Willard , kuid oli juba hilja . "
45	NA	 Ta oli alati imetlenud korealase võitluskunstidega treenitud meeli ja reaktsioonikiirust . 
45	NA	 Mürsk tabas samba alumist kolmandikku ja lõi sinna suure , siledate servadega augu . 
45	NA	 Korraga näis , nagu oleks tohutu tolmuimeja tööle lülitatud . 
45	NA	 Kord ühte ülesannet täites oli lennuk , millega Willard lendas , tabamuse saanud ja väljas valitseva alarõhu tõttu olid nad kurja vaeva näinud , et neid lennukist koos asjadega välja ei imetaks . 
45	NA	 Nüüd juhtus midagi samalaadset . 
45	NA	 Li-jen , kes oli sambale kõige lähemal , karjatas , kui õhuvool ta kaasa viis ja samba sisse vedas . 
45	NA	 Siis kärgatas plahvatus , sammas paiskus kildudeks ning jalge all olev kummaline pind sulas ainsa hetkega . 
45	NA	 Sambad tardusid puudeks ja Willardi rühm leidis end seismas põlvist saadik tuttavas soos . 
46	NA	 Eespool hakkas maapind tõusma ning Willard juhtis mehed puudega kaetud künkale . 
46	NA	 Jacks ja Ricardo vaatsid koha üle ja noogutasid /mdash ; plats oli puhas . 
47	NA	" "" Puhkus ! "" kamandas Willard . "
47	NA	" "" Öö veedame siin . "
47	NA	 Homme liigume edasi . 
47	NA	 Olafsen /mdash ; valvad teisena , minu järel . 
47	NA	 Siis Jacks , Dutch , Ricardo , Switsky . 
47	NA	" Ja nüüd vaikust /mdash ; ma tahan mõelda ! "" "
48	NA	 Ükski leht ei liikunud , kui tohutu vari künka kohale kerkis . 
48	NA	 Näha polnud midagi , vaid õhk väreles vaevumärgatavalt ning tähed paistsid veidi tuhmimalt seal , kus varju heitev keha oleks pidanud asuma . 
48	NA	 See seisis hetke puude kohal ja prantsatas siis alla nii et ümbrus rappus . 
48	NA	 Künka harjale tekkis ruudukujuline jälg , kus maapind oli jala sügavuselt sisse pressitud . 
48	NA	 Näha polnud endiselt midagi ja ainult õhk väreles seal , kus oli olnud laager . *** 
49	NA	 Lew.R. 
49	NA	 Berg pani punkti ja luges jutu üle . 
49	NA	 Willardi sari oli ennast juba ammendanud ja oli paras aeg asi ära lõpetada . 
49	NA	 Lõpetada nii , et Willard ei saakski aru , millega ta seekord kokku puutus , lõpetada müstiliselt ja saladuslikult . 
49	NA	" Berg noogutas rahulolevalt ja kirjutas pealkirja : "" Viimane ülesanne "" . "
49	NA	 Siis kustutas ta tule . *** 
50	NA	 Willard lükkas lehed kõrvale ja piilus ettevaatlikult välja . 
50	NA	 Kõik oli vaikne , ainult õhk väreles vaevumärgatavalt seal , kus nad laagris olid olnud . 
50	NA	 Ta lasi lehtedel tagasi langeda ja roomas meeste juurde . 
51	NA	" "" Te nägite , mis juhtus , "" sõnas ta sosinal . "
51	NA	" "" Mul oli õigus . "
51	NA	 Ma tean , kus me oleme ja mis teoksil on . 
51	NA	 See pidi olema meie viimane ülesanne ja ma tean täpselt , kes siin kontrolli alt on väljunud . 
51	NA	" "" "
52	NA	 Jah , tal oli tekkinud kahtlus kohe , kui ta nägi sambaid . 
52	NA	 Midagi oli neis tuttavlikku , kuid alles siis , kui nad olid laagrisse jäänud ja tal oli aega selle peale mõelda , meenus talle , miks . 
52	NA	 Ta oli midagi sellist lugenud . 
52	NA	 Berg , meenus talle . 
52	NA	 Lew . 
52	NA	 R. Berg . 
52	NA	 Ja halba aimates oli ta mehed laagrist välja viinud . 
52	NA	 Viinud vaikselt , märkamatult , vähimagi krõbinata . 
52	NA	 Ja tal oli õigus olnud . 
53	NA	" "" On üks mees , kes kirjutab jutte /mdash ; Berg . "
53	NA	 Me oleme tema loodud maailmas , tema fantaasias . 
53	NA	" "" "
54	NA	" "" Mis , see on siis mingi tindisolkija unenägu või ? "" vahutas Olfsen . "
54	NA	" "" Hobusepask ! "" "
55	NA	" "" Tss ! "" sisistas Willard ja noogutas . "
55	NA	" "" See ongi see "" eksperiment "" , mis kontrolli alt väljus . "
55	NA	" "" "
56	NA	" "" Mis edasi ? "" päris Dutch asjalikult . "
57	NA	" "" Töö ootab , "" mühatas Olafsen . "
57	NA	" "" Ülesanne on ju veel täitmata . "
57	NA	" "" "
58	NA	" "" Viimane ülesanne , "" noogutas Willard . "
58	NA	" "" Aga mitte sel põhjusel , mis tema arvates . "
58	NA	" "" "
59	NA	 Ta tõmbas kuuli rauda ning muigas süngelt . 
60	NA	" "" Lähme vaatame , mis puust see Berg õige ise tehtud on ! "" "
