par_nr	head	sentence
1	 Doonorelundid 	 Doonorelundid 
2	NA	 Maniakkide Tänav 
3	NA	 August oli juba pea täielikult paranenud ja pidi peagi haiglast koju saama . 
4	NA	" "" Polegi need Jõgeva arstid need kõige hullemad , "" mõlgutas ta . "
4	NA	" "" Mis tost , et nende valediagnoosidest imelikest ravivõtetest linna peal hirmu- ja õudusejutte räägitakse . "" "
5	NA	 Raadiokell piiksus üheksa ning justkui sellele rihitult lükati varbad ees palatisse uus patsient . 
5	NA	 Avarii ohver , nagu selgitas õde . 
5	NA	 Vaene vennike oli ülepeakaela sidemetesse mähitud . 
5	NA	 August kõlgutas voodiserval jalgu ja valmistus uuega entusiastlikult vestlusse astuma , kuid õde laitis selle nõu maha : mees vajavat rahu . 
5	NA	 Ja seda pidi August isegi tunnistama , et avariiohver eelistas pigem suletud silmil vait ja vagusi olla , mis ehk tulenes ikka veel osaliselt mõjuvast narkoosist . 
5	NA	 Ohates keeras August raadio vaiksemaks ja asus raamatut lugema . 
5	NA	 Palat oli lämbe ning avanud akna , keeras August end peagi magama . 
6	NA	 Öö . 
6	NA	 Pahaselt keeras August teise külje . 
6	NA	 Kõige magusama une pealt tundis ta , et peab asjale minema . 
7	NA	" "" Neetud ! "" vandus ta mõttes . "
7	NA	" "" Nüüd mine ringi tuiama ja siis ei jää jälle tükk aega magama . "" "
7	NA	 Kuid teha polnud midagi . 
7	NA	 Huuled enda peale pahameelest torus , ajas mees end üles ja kooberdas WC-sse . 
7	NA	 Heitnud unise pilgu uue kaaslase poole , täheldas ta , et too on jalutu . 
7	NA	 Pannud kitsukeses ruumis tule põlema , astus August poti ette ja ajas püksid maha . 
7	NA	 Sellesse poosi ta mõneks hetkeks ka jäi , lollakalt allapoole vahtima . 
7	NA	 Midagi oli raskelt valesti . 
7	NA	 Ta sikutas püksid uuesti üles ja kuumalaine käis üle terve kere . 
7	NA	 Tal oli all kaks paari jalgu . 
7	NA	 Ühed olid ilusti pükstes , teised , veidi pikemad karvased sääred algasid puusadelt . 
7	NA	 Sealt kus pidzaamapükste värvel lõppes . 
7	NA	 August oli lühike mees ja kõik — ka kõrgemalt algavad jalad — ulatusid ilusti põrandani . 
7	NA	 August astus sammu tagasi . 
7	NA	 Kõik neli jalga allusid talle nagu varem kaks tükki , ainult astuda oli veidi kindlam . 
7	NA	 Ta pani käe jalale ja silitas seda . 
7	NA	 Jalg oli tema oma , mis tema oma . 
7	NA	 Mees tundis selgesti oma käe puudutust . 
7	NA	 Ärevus haaras Augustil ajust ja pitsitas seda . 
7	NA	 Susside lohisedes ja paljaste jalgade plätsudes kandus vennike koridori ning sammus jalgu sassi ajamata valveõe lauakese poole . 
7	NA	 Laua ees jäi ta seisma . 
7	NA	 Õde tõstis pilgu ajakirjast ja vaatas talle küsivalt otsa . 
7	NA	 August tõstis oma kaks paljast jalga üles ja lõi nende taldadega õe nina all plaksu . 
8	NA	" "" M-mis te s-selle peale ütlete ? "" kraaksatas ta kokutades , kuid küllaltki rahulikult , sest asi polnud talle veel päris kohale jõudnud . "
8	NA	" Õde jõllitas teda hetke jahmunult , kuid pomisenud siis midagi , mis kõlas nagu "" üks moment "" , haaras sisetelefoni toru ja klõbistanud nuppe , sisistas sellesse : "" Mida te juhmid seal teete ? "
8	NA	" Üks patsient keldriblokist kooserdab siin praegu ringi ... selge , et kindel — TAL ON NELI JALGA ! "" ja virutas vihaselt toru hargile . "
8	NA	" "" Kohe tullakse . "" "
9	NA	 August ei öelnud midagi . 
9	NA	 Ta oli tumm mis tumm . 
10	NA	" "" Ärge seiske siin valguse käes , keegi patsientidest võib veel näha , saab südamerabanduse . "
10	NA	" Mis asju te siin õieti ajate ? "" "
11	NA	" "" Ma ei tea , "" pomises August segaselt . "
11	NA	" "" Mul oli kopsupõletik , aga sellest sain üle . "" "
12	NA	" "" Kopsupõletik ? "
12	NA	 Miks nad teile siis jalad külge pookisid ? 
12	NA	" Või olete amm ? "" "
13	NA	 August ei saanud midagi aru . 
13	NA	" "" Küllap vist , "" pomises ta . "
14	NA	" "" Mina olen ka , muidugi ainult siis , kui ma öövalves olen . "
14	NA	" Lisaraha ei tee kunagi paha . "" "
14	NA	 Naine lükkas juuksepahmaka kõrvale ja näitas vasakul pool pead olevat kolme kõrva ja kitliesist triikides kolme rinda . 
14	NA	" "" Vaesekesi peab ju toitma , kuni nad omaniku leiavad . "" "
15	NA	 Eemalt koridorilabürindist hakkas kostma jalgade astumist ning summutatud kõnesosinat . 
16	NA	" "" J-jah-jah raha ei tee kunagi paha , "" noogutas ka August tundmatu ohu lähenemist tajudes ja veel enam närvi minnes . "
16	NA	 See oli nagu mingi painaja . 
16	NA	 Kolme rinna ja nelja kõrvaga naine , tumehämaratest koridoridest lähenevad Keldribloki inimesed ( arvatavasti inimesed ) . 
16	NA	 Ja tal endal neli jalga . 
17	NA	" "" Kahte pead sa niisama lihtsalt otsa ei klapita , "" kostis koridorihämust . "
17	NA	" "" Sellega on ikka tükk pusimist . "" "
18	NA	 August taganes ja pistis kõigi oma nelja jalaga jooksu . 
19	NA	" "" Kuhu ! "" kostis selja tagant valveõe terav käratus . "
19	NA	 August tuiskas ümber nurga ja kihutas esimesele korrusele viiva trepi poole . 
20	NA	" "" Kitsepõrgusse ! "" vingatas ta endamisi , kui kuulis tagant äkilisi hõikeid ja tagaajamismüdinat . "
20	NA	 Jooksnud pimedas õigest koridorist mööda , põrkas August vastu mingit potis kasvavat kummipuud , pöördus ringi ja süstis õigesse suunda . 
20	NA	 Ent viivitushetk maksis end kätte . 
20	NA	 Mustavast õhust kihutas välja kahepäine , kuuekäeline ja jumal üksi teab mitmejalgne peletis . 
20	NA	 Hirmuhuilet kuuldavale lastes haaras August trepikoja ukse kõrval seisva metallvarrastest riidenagi ja ise peaaegu vastu seina joostes käänas otsa jooksu pealt olevuse poole . 
20	NA	 See rehmas kõigi oma kuue käega , ent tegu oli siiski nii ootamatu , et piigina tungisid mütsivarna ogad tollele vasakusse pähe . 
20	NA	 Õõksatades taarus olevus paar sammu tagasi ja enne veel kui põrandale kukkus , lagunes tükkideks . 
20	NA	 Käed-jalad ning teine pea pudenesid läbisegi põrandale ning hakkasid seal siis rahutult siplema . 
20	NA	 Õudusega nägi August , kuidas jalad ennast ükshaaval hämaruses püsti ajasid ja tema poole hüplema hakkasid . 
20	NA	 Tumedalt linoleumilt ei paistnud hästi , aga mees tundis , et ka käed sibavad tema poole . 
20	NA	 Pooleks ininaga urisedes kukkus August neid jalgade ja riidevarnaga laiali peksma . 
20	NA	 Pealetungivad ihuliikmed tõmbusid tagasi , niipea kui ta oli mõnel neis luud purustanud ja kadusid krabistades pimedatesse koridoridesse ning trepikotta kuhu nad ta hoopidest paiskusid . 
