par_nr	head	sentence
1	 Õpetus surnutest 	 Õpetus surnutest 
2	NA	 Maniakkide Tänav 
3	NA	 ELUL POLE SIHTI KAS SEDA SIIS ON SURMALGI ? 
3	NA	 ELU JA SURM KAKS ERINEVAT KIHTI KUID MÕTET POLE KUMMALGI . 
4	NA	 NAD ON ÜKS — EHKKI ÜKS ON VAIT JA TEINE LÄRMAB , TÕDE ON ÜKS ! 
4	NA	 VAHET POLE , ELAD SA VÕI KÄRVAD . 
5	NA	 KUI NII ... 
5	NA	 SIIS TEEME NEIST KOMPLEKTI : SEGAN KOKKU JA SAAN SURMELAVA OBJEKTI . 
6	 1 . 	 1 . 
7	NA	 BMW peatus puulippidest kokkulöödud värava taga . 
7	NA	 Siim suretas mootori ja astus masinast välja . 
7	NA	 Aia taha tormas metsikult kilades mingi hundi- ja lambakoera segu . 
7	NA	 Esimese hooga kartis mees , et elukas üle aia kalpsab ja valmistus kähku autosse varju pagema kuid koer jäi siiski aia najale pidama . 
7	NA	 Siim lähenes ettevaatlikult väravale ja jäi ootama . 
7	NA	 Värava taga traataia sees asusid kaks hoonet . 
7	NA	 Otse ees mööda betoonist valatud jalgrada oli väike tellistest hütt , mida pooleldi varjas paari plangu jagu eterniitaeda , mis oli ehitatud nähtavasti ainult selleks , et aia tagant poleks võimalik hüti aknasse piiluda , sest eterniit oli vaid akna ees . 
7	NA	" Onni rohelisele uksele oli punase aerosooliga lohakalt värvitud "" Pärjad "" . "
7	NA	 Hüti akna ees plangu tagant paistis kaevurake . 
7	NA	 Betoonraja kõrval oli L-kujuline elumaja , mille tagakülg oli pööratud värava poole . 
7	NA	 Lõpuks ilmus koera klähvimise peale maja nuka tagant nähtavale 22-23- aastane noormees . 
8	NA	" "" Puzzle , "" hõikas ta kutsuvalt koera . "
8	NA	" "" Tule ära , jää vait . "" "
8	NA	 Noormees kandis helerohelist kortsus ja auke täis rebitud T-särki ja näritud põlvedega teksaseid . 
8	NA	 Pea oli tal erepuna-sini-roheliseks värvitud . 
9	NA	" "" Tere , "" hõikas Siim üle koera lõugamise . "
10	NA	" "" Tereeee , "" venitas noormees . "
10	NA	" "" Kas sa kurat jääd vait ! "" käratas ta siis koerale . "
11	NA	" "" Ma sooviksin rääkida härra Kurgiga , "" ütles Siim . "
11	NA	 Puzzleks hüütud koera ristsugutis oli vait jäänud ja haugatas ainult mõned korrad nagu ennast meelde tuletades . 
12	NA	" "" Väga armas , "" ütles punkar . "
12	NA	" "" Räägi siis minuga . "" "
13	NA	 Siim noogutas , justkui oleks saanud kinnitust arvamusele isiku identiteedi suhtes . 
14	NA	" "" Ma olen reporter ajalehe juurest . "
14	NA	" Siim , kutsutakse ka Skriptiks , sellepärast et ma pidevalt kirjutan , kusjuures ainult käsitsi . "" "
14	NA	 Skript tõstis fakti toonitamiseks näpu värava kõrval kasvava kase võra poole . 
14	NA	 Ta ei pannud tähelegi , et tema kohal , ühel jämedal oksal kükitas must läikiva karvaga kass , kellele oli kõrvade vahele punutud pikematest karvadest ja võltsjuustest roosakas pats . 
15	NA	" "" Jaa-jahh , "" tähendas Kurk äraootavalt . "
15	NA	 Ta toppis käed püksitaskutesse ja vahtis Skriptile ootavalt näkku . 
15	NA	 Ehkki ajakirjanik seisis lõõskava päikese eest kase varjus , tundis ta , nagu istuks ta kuuma lõkke ääres . 
15	NA	 Tuul liigutas Kurgi erepunaseid juuksesalke ja Skriptile viirastus , nagu oleks teisel leegid juustena hubisenud . 
15	NA	" Skript tõmbas käega üle näo , et lummusest vabaneda ning jätkas reipalt : "" Vaata ( ta valis familiaarse lähenemise ) , ma kogun materjale artikli jaoks , mis käsitleb satanismi eesti noorte seas , no ja üldse , vanemate seas ka , aga eriti noortekultuuris , no ja mind juhatati sinu juurde . "" "
16	NA	" "" Minu ? "" üllatus Kurk Tema näolt paistis siiras hämmeldus . "
16	NA	" "" Kes ? "" "
17	NA	" "" Noh , "" Skript pühkis jälle higi . "
17	NA	" "" Pea iga teine Tallinna satanistlik noor nimetas sinu nime . "
17	NA	" Nagu ma aru sain oled sa neile nagu midagi guru taolist . "" "
18	NA	 Kurk hakkas lõbusalt kõõksuma . 
18	NA	" "" See , "" mõtles Skript endamisi , "" on naer . "" "
19	NA	" "" Õõh-õõh-õõh , suur juht ja õpetaja , "" kilkas Kurk kõõksumise vahele . "
20	NA	 Kuna koer oli vahepeal kuhugi minema töllerdanud , julges Skript aiale naalduda . 
20	NA	" "" Nad väitsid , et neil olla isegi mingeid okultseid satanistlikke tekste , mis on sinu poolt kirja pandud . "" "
21	NA	" Kurk naeris , "" Usun , et küllap need on tavalised õudusjutud . "
21	NA	" Ilukirjandus . "" "
22	NA	" "" Tavaline ilukirjandus ? "
22	NA	" Need noormehed paistsid neid päris tõsiselt võtvat , "" mainis Skript . "
23	NA	" "" Noored inimesed , tahtmist on , võtku pealegi , mul pohhui . "" "
24	NA	 Sellega paistis jutuajamine lõppenud olevat . 
24	NA	 Skript ajas siiski veel näpu üles , kassi poole püsti . 
24	NA	" "" Äkki saate mulle mõnd oma juttu näidata . "" "
25	NA	" Kurk kehitas õlgu , "" ega eriti ei viitsi küll , mul tosin toimetust teha . "" "
26	NA	 Skript noogutas , lehvitas ja istus autosse . 
26	NA	 Kassi enam puu otsas ei olnud . 
27	 2 . 	 2 . 
28	NA	 Skript sõitis kohaliku ajalehe toimetusse . 
28	NA	" Kui Kurk kirjutas tõesti ilukirjanduslikku lugusid , siis oli ta neid võib-olla ka "" Vooremaale "" pakkunud ja neil võis mõni ta käsikiri alles olla . "
29	NA	 Linn oli külast , kus Kurk elas , vaevalt poole kilomeetri kaugusel , külast teisele poole umbes sama kaugele jäi Jõgeva alevik . 
30	NA	" Skripti õnneks olid inimesed "" Vooremaa "" toimetuses ametivennale üsnagi vastutulelikud ja mõningase viivituse järel tõid nad talle Kurgi järjejutuna ilmunud loo "" Surm on lahti "" . "
30	NA	 Vahepeal , niikaua kuni käsikirja alles otsiti , uuris Skript kohalikku ajalehte . 
30	NA	 Ta silmad jäid pidama politseikroonika veerul . 
30	NA	 Sõnum oli lühike : 
31	NA	 Ööl vastu reedet vandaalitseti Siimusti surnuaial.Poolenisti lahti oli kaevatud eelmisel päeval maetudM.T haud , hauakivi oli purustatud ning pärgadelt olidnopitud kõik lilled . 
32	NA	" "" Ohoo , "" mõtles Skript . "
32	NA	" "" Paistab , et ka siinkandis võib esialgsest ebaõnnestumisest hoolimata mingit materjali olla . "" "
32	NA	 Ta tänas kolleegi ja paljundanud omale käsikirja , suundus politseiprefektuuri . 
32	NA	 Seal polnud kahjuks selle juhtumiga tegelejat parajasti kohal ning politseiametnike umbmääraste vastuste ning segase jutu põhjal jäi Skriptile mulje , et ega keegi sellega vist õieti ei tegelegi . 
32	NA	 Teed küsides pööras ta masina Siimusti poole , mis asus mõned head kilomeetrid Tartu pool . 
33	NA	" "" Ega see pole neil esimene kord siin möllata , "" mökitas surnuaiavaht ärajoonud tämbril . "
34	NA	" "" Ah , nii , "" tegi Skript huvitatud häält . "
35	NA	" "" Viimasel ajal on tervel hulgalt hauaplatsidelt pärjalilled läinud . "
35	NA	 Mitte kõik , ainult kõige ilusamatelt pärgadelt . 
35	NA	" Vahest mõni üksik kord on võtmata jäänud . "" "
35	NA	 Vanamees silus lõuga . 
35	NA	" "" Ja lindid kah . "" "
36	NA	 Nad jõudsid M.T hauani . 
36	NA	 Plats oli koristatud ja korda tehtud . 
36	NA	 Hauakivilt võis lugeda omaniku nime , surma ja sünniaega . 
37	NA	" "" Hoi-hoi ? "" hüüdis Skript küsivalt . "
37	NA	" "" Ma sain aru , et hauakivi oli puruks löödud ? "" "
37	NA	 Vanamees ei öelnud midagi , pomises niisama midagi habemesse . 
38	NA	" "" Mis ? "
38	NA	" Ah ? "" torkis ajakirjanik kui taat ei vastanud . "
39	NA	" "" Oli jah , "" vastas taat järsult . "
39	NA	 Ta oli kuidagi sõnaahtraks jäänud . 
40	NA	" "" Noo aga see on ju terve !! "" "
41	NA	" "" Terve jah , terve nagu purikas . "" "
42	NA	" "" Vahetati välja või ? "
42	NA	 Mis ? 
42	NA	" Ah ? "" "
43	NA	" "" Ei vahetatud , ise paranes ära ! "" vihastas vanamees , "" mis sa tühja torgid ! "" "
44	NA	" "" Ega ma tühja torgigi , ma uurin satanismi , "" seletas Skript lahkelt . "
45	NA	" "" Satanismi , "" tusatses ätt , "" sa poisijuss ei teagi , misasi see satanismus õieti on ! "" "
46	NA	" "" Sellepärast ma uuringi , et ei tea , "" provotseeris Skript . "
46	NA	" "" Saan teada , võin sullegi selgitada . "" "
47	NA	 Taat vaatas teda põlastavalt . 
47	NA	" "" Hähh , selgitada . "
47	NA	" No tule selgita siis , "" ja hakkas ees mööda jalgrada tagasi astuma . "
48	NA	 Jõudnud surnuaiavahi majani , viis taat Skripti kuuri alla ja võttis seal seinalt pärjalindi . 
48	NA	" "" Säh , selgita seda siin . "" "
49	NA	 Ehkki kuur oli üsna hämar , helendasid tähed mustal taustal sinakalt , Skriptile paistis nagu hoiaks ta käes mitte linti vaid ainult tähti . 
49	NA	 Lause ees ja taga veretasid kolm erkpunast nelki . 
