par_nr	head	sentence
1	 Kõik , mis sa teed ... 	 Kõik , mis sa teed ... 
2	NA	 Veiko Belials 
3	NA	" "" Kuis nii ära muudetud ! "" hüüdis Vanapagan imestunult . "
3	NA	" "" Mul on ju leping . "" "
3	NA	" "" See ei maksa enam , "" ütles Peetrus . "
3	NA	" A. H. Tammsaare "" Põrgupõhja uus Vanapagan "" "
4	NA	" "" ... sa pretendeerid olema rohkem , kui sa tegelikult oled , võtad Jumala rolli , aga tegelikult oled lihtsalt üks jumal . "" "
4	NA	" "" Siis süüdistate te mind selles , et ma olen niisugune , nagu ma olen . "
4	NA	 Aga mina ei ole ennast teind selliseks , nagu ma olen ! 
4	NA	" Mis mina olen teind , olen ma teind nii hästi , kui suutsin . "" "
4	NA	" Jaan Kaplinski "" Silm "" "
5	NA	 Oli hingedepäev . 
5	NA	 Nagu igal aastal , tuli seegi kord kaaluda , kes kuhu kuulub . 
6	NA	 Jumal ohkas . 
6	NA	 Ta teadis kaalumatagi , milline on tulemus . 
6	NA	 Niikaua kui ta mäletas , oli see alati ühesugune olnud . 
6	NA	 See hakkas juba üksluiseks muutuma . 
7	NA	 Ta mõtles veidi ja vajutas siis kommutaatori nuppu . 
8	NA	" "" Saada ta sisse , "" sõnas ta , kui Peetruse häält kuulis . "
8	NA	" "" Ma võtan ta nüüd vastu . "
8	NA	" "" "
9	NA	 Ukse juures kärgatas ning tekkinud suitsupilvest astus välja elegantne , kuid väga kõhn mustas sabakuues härrasmees . 
9	NA	 Kavalad mustad silmad särasid ta laipkahvatus näos , korallpunastel huultel mängles kerge irooniline naeratus . 
9	NA	 Ta haaras torukübara peast , paljastades peadligi kammitud ronkmustad juuksed ja kummardas teatraalselt . 
10	NA	" "" Lucifer , teie teenistuses . "
10	NA	" "" "
11	NA	" "" Kurat ! "" prahvatas Jumal võpatades . "
11	NA	" "" Mitu korda ma olen öelnud , et enne koputa ! "" "
12	NA	" "" Vabanda , "" naeratas Lucifer ja kummardas uuesti . "
12	NA	 Ta lõi kabjaga kolm korda vastu põrandat . 
13	NA	" "" Muide , see kostüüm sobib Draculale palju paremini , "" märkis Jumal , silmitsedes teda kriitiliselt . "
14	NA	 Lucifer heitis talle vihase pilgu , haaras oma veripunase voodriga keebi hõlmadest ja mähkis end sellesse . 
14	NA	 Kui ta mustad ( seekord mitte enam keebi , vaid suurte nahkjate tiibade ) voldid uuesti valla lõi , seisis Jumala ees Kurat — karvane ja ropp kitsesarvedega elukas , tohutu peenis nagu kolmas sarv õieli . 
14	NA	 Kollased silmad mustas näos õelalt kiiskamas , vehkis ta sabaga ja irvitas , nii et raudsed kihvad välkusid . 
15	NA	 Jumal pööras pilgu tülpinult kõrvale . 
16	NA	 Midagi porisedes kadus Kurat sinisese suitsupilve . 
16	NA	 Kui see hajus , seisis ukse juures jässakas karvakasvanud isand , vest pingul üle ümara vatsa . 
16	NA	 Kitsesarvede asemel paistsid krässus juuksepahmakast tillukesed sarvemuksud , kitsehabe oli asendunud laia musta täishabemega . 
16	NA	 Veidi kohtlasel ilmel vahtis ta Jumalale otsa . 
17	NA	" "" Kuule nüüd , Vanapaganaga pole mul täna küll midagi peale hakata ! "" ahastas Jumal . "
17	NA	" "" Mul on tõsine jutt ! "" "
18	NA	 Vanapagan kehitas õlgu ja vajus läbi põranda . 
19	NA	 Jumal ootas mõnda aega , kuid midagi ei juhtunud . 
19	NA	 Ta oli juba kannatust kaotamas , kui tugitoolist kostis köhatus . 
19	NA	 Jumal pöördus võpatades . 
20	NA	 Tugitoolis istus Saatan , must ülikond seljas ja mustad prillid ees . 
20	NA	 Ta vasaku käe väikeses sõrmes säras suur kullast sõrmus . 
21	NA	" "" Lõpeta see palagan ! "" lausus Jumal etteheitvalt . "
22	NA	" "" Miks ? "" imestas Saatan . "
22	NA	" "" Ma armastan teatrit . "
22	NA	 Sina ju ka , niipalju kui ma mäletan . 
22	NA	 Sina olid ju see , kes alustas . 
22	NA	 Kõik need vagatsevad ja õpetlikud lood , kristlikud müsteeriumid ... 
22	NA	 Tjah , suurem asi lavastaja sa just polnud . 
22	NA	 Ausalt öeldes istusid need paganlikud vaatemängud , mis enne sind olid , mulle rohkem . 
22	NA	 Need olid kuidagi usutavamad , elu oli neis rohkem , vaat mis . 
22	NA	 Õnneks polnud sul püsivust ja sa jätsid lavastamise sinnapaika . 
22	NA	 Siis tulin mina ja võtsin asja üle . 
22	NA	" "" "
23	NA	" "" Eh , teater , teater ! "" õhkas Saatan unistavalt . "
23	NA	" "" Edevuse laat ! "
23	NA	 Tuhande võimaluse maa ; maa , kus kõik on võimalik . 
23	NA	 Kus kõik teevad nii , nagu mina , lavastaja , ütlen ! 
24	NA	 Tead , milline oli minu kreedo ? 
24	NA	 Rohkem naturaalsust ! 
24	NA	 Tagasi paganlike juurte juurde ! 
24	NA	 Elu ja kunsti ühe otse vaataja silme all ! 
25	NA	 Pean tunnistama , et mul on edu olnud . 
25	NA	" Nad isegi paarituvad juba otse laval ! "" "
26	NA	" "" Elu ja ühe on see nüüd küll , "" pomises Jumal . "
26	NA	" "" Aga kus siin see kunst on ? "" "
27	NA	 Saatan muigas . 
28	NA	" "" Kunst on seda kõike kunsti pähe esitada . "
28	NA	" "" "
29	NA	 Jumal krimpsutas nägu . 
30	NA	 Saatan ei teinud seda märkamagi . 
30	NA	" Ta õngitses taskust sigari , veeretas seda sõrmede vahel , lõikas otsa maha ja klõpsas "" Zippoga "" põlema . "
30	NA	 Naudiskledes puhus ta õhku kollakaid väävlihaisulisi suitsurõngaid . 
31	NA	" "" Avalikes kohtades on meil suitsetamine keelatud , sa ju tead seda , "" õiendas Jumal . "
31	NA	 Ta küünitas end lähemale ja puhus Saatana sigari peale . 
31	NA	 Sigar kustus . 
32	NA	 Saatan uuris sigarit , torkas selle siis taskusse tagasi ja ohkas resigneerunult . 
33	NA	" "" OK . "
33	NA	" Milles asi ? "" uuris ta . "
34	NA	" "" Asi on selles , et ... "" "
34	NA	 Jumal näis olevat veidi kimbatuses . 
34	NA	" "" Kuidas seda nüüd sulle öeldagi ? "" "
35	NA	" "" Tehke selgeks , kus on point , ja siis räägime ! "" irvitas Saatan . "
36	NA	 Jumal vaatas talle mõistmatu näoga otsa . 
36	NA	 Saatan lõi käega . 
37	NA	" "" Kurat , võta vähemalt need prillidki eest ära ! "" pahvatas Jumal ootamatult , ise ikka veel pahane segamise pärast , mis tal viimsegi mõttejärje sassi ajas . "
37	NA	" "" "" Mehed mustas ! "" "
37	NA	" Sa näed välja nagu mingi stiliseeritud Paha mõnest B- kategooria märulifilmist ! "" "
38	NA	" "" Seda ma ju olengi , "" märkis Saatan rahulolevalt . "
38	NA	" "" Paha . "
38	NA	 Evil . 
38	NA	" Selline Oi-ma-olen- õel ! "" "
39	NA	" "" Just seda sa ei ole ! "" kähvas Jumal . "
39	NA	" "" Seda ma õigupoolest sulle rääkida tahtsingi . "
39	NA	" Tule ! "" viipas ta . "
40	NA	" "" Kuhu ? "" "
41	NA	" "" Tule-tule . "
41	NA	" "" "
42	NA	 Jumal juhatas Saatana põrandasse raiutud ümmarguse akna juurde . 
43	NA	" "" Mida sa näed ? "" päris ta aknale osutades . "
44	NA	 Saatan kummardus vaatama . 
45	NA	" "" See on Maa , "" ühmas ta lõpuks . "
45	NA	" "" Selle pärast kutsusidki mind siia või ? "" "
46	NA	" "" Vaata nüüd , "" ei teinud Jumal kuulmagi . "
46	NA	 Ta vajutas nupule ja akna ette libises vaikse surinaga midagi filtrisarnast . 
46	NA	 Saatan kummardus uuesti lähemale . 
47	NA	" "" Ikka Maa . "
47	NA	 Ainult et nüüd ümbritseb seda mingi helendus või nimbus . 
47	NA	" "" "
48	NA	" "" See on karma , "" noogutas Jumal . "
48	NA	" "" Või aura . "
48	NA	 Või saatus , nimeta kuidas tahad . 
48	NA	" "" "
49	NA	" "" Ligi pool sellest on musta värvi , "" üllatus Saatan . "
50	NA	" "" Selles asi ongi , "" ohkas Jumal . "
50	NA	" "" Täna on hingedepäev . "
50	NA	 Aga kaalumine omab tähendust vaid üksikindiviidide puhul . 
50	NA	 Maailm tervikuna on muutumatu . 
50	NA	 Konstantne . 
50	NA	 Aegade algusest peale . 
50	NA	 51% head ja 49% kurja . 
50	NA	" "" "
51	NA	" "" Pea-pea ! "" hüüatas Saatan . "
51	NA	" "" Mind on ikka õpetatud , et Maailmas valitseb tasakaal . "
51	NA	 Et ainus tegu võib seda tasakaalu kõigutada . 
51	NA	 See ongi ju minu olemasolu mõte , minu eesmärk — Maailm tasakaalust välja viia , see kurja pöörata ! 
51	NA	" Ja nüüd tahad sa öelda , et ma olen kõik see aeg tühja tegutsenud ? "" "
52	NA	" "" Vastupidi , "" muigas Jumal . "
52	NA	" "" Sinu töö on olnud vägagi viljakas . "
52	NA	 Sest sina oledki see konstant , headuse põhjustaja . 
52	NA	" "" "
53	NA	" "" Mida ? "" ei uskunud Saatan oma kõrvu . "
53	NA	" "" Sa tahad väita ... ? "
53	NA	 Jäta ! 
53	NA	" Seda ei usuks isegi laps mitte ! "" "
54	NA	 Jumal kehitas õlgu . 
55	NA	" "" Vaata ise ! "" kutsus ta . "
55	NA	 Ta oli läinud toa teise otsa ja seisis nüüd kõrge , riidega kaetud eseme juures . 
56	NA	 Saatan astus lähemale . 
57	NA	" "" Voil ? ! "" hüüatas Jumal ja tõmbas katte maha . "
57	NA	 Selle all oli peegel , lihtne , ilma liigsete kaunistusteta vanaaegne ese . 
57	NA	 Saatan , kes sellesse pilgu heitis , põrkus tagasi . 
58	NA	" "" Sa pole ainuke , kes dramaatilisi efekte armastab , "" muigas Jumal . "
59	NA	" "" Olen see mina ? "" päris Saatan jahmunult , silmitsedes valgete tiibade ja särava nimbusega kuju , kes talle peeglist vastu vaatas . "
60	NA	 Jumal noogutas . 
61	NA	" "" See peegel näitab kõigi tõelist olemust . "
