par_nr	head	sentence
1	 Sindbadi üheksas reis 	 Sindbadi üheksas reis 
2	NA	 Indrek Hargla 
3	NA	 Kiidetud olgu Allah , kõige armulisem ja kaastundlikum ! 
3	NA	 Nii alustan ma , sõbrad , jutustust oma üheksandast merereisist , et taaskord anda teie otsustada , kas on mul õigus nüüd oma päevi külluses veeta või peaksin jagama rikkuse vaestele ja anduma palvetele , kasinusele ja karmusele . 
3	NA	 Olen teile rääkinud , kuidas nooruses lõin läbi oma isalt päritud rikkuse ja seejärel siirdusin kaupmehena meredele , kus loendamatuid ohte trotsides õnn mulle lõpuks naeratas , et võisin osta tagasi selle maja ja puhata . 
3	NA	 Nüüdki alustan ma jutustust sellest , kuidas Bagdadi kaliifi Harun Al- Rašidi — andku Allah talle palju elupäevi — vesiir , keda teie mäletate pakikandja Hindbadina , ühel päeval , pärast minu kaheksandat reisi , millel leidsin elu suurima armastuse , et nüüd võin öelda — igatsus ja kättesaamatus on armastuse tõeline nimi , minu juurde tuli ja palus mul kaliifi enese ülla palge ette ilmuda . 
4	NA	 Küllap teate , et mu kaheksandalt reisilt toodud õpetuste järgi oli kaliif lasknud ehitada uut moodi laevastiku . 
4	NA	 Nende kaugelt põhjast meie meredele eksinud õnnetute hingede teadmised seilamiskunstist olid nii vägevad , et Basras asuv laevastik võimuses ja uhkuses kõik teised kaugele maha jätab ja Araabia meri talle kitsaks jääb . 
4	NA	 Meie kookospuust laevade asemele oleme ehitanud pikemad alused , Siidonist raiutud seedrist , mis merel paremini tormide vastu seisavad ja kiiremini pikki vahemaid ületavad . 
4	NA	 Sellised olid kaugelt põhjast tulnud meeste laevad ja sellistega purjetavad nad ka mööda Itili jõge alla , üle mere Damghani sadamasse kauplema . 
5	NA	" Ma läksin Ümarpaleesse , kõige jumalakartlikuma ja ausama valitseja juurde , ta pakkus mulle hõrku jasmiiniteed , mesimagusaid datleid , päris minu ja mu naiste elukäigu järele ning ütles : "" Ma märkan , Sindbad , et igavus su silmad tuhmiks teeb ja tüütus paneb sind enneaegselt vananema . "" "
6	NA	" "" Oo aulik kaliif , "" vastasin , "" mitte igavus pole see , vaid igatsus naise järele , kes maailma enda poolt minule määratud sama kindlalt , nagu ka igavene keeld teda oma abikaasaks teha . "" "
7	NA	" "" Siis peaksid sa muremõtted peast heitma ja jälle kaugete maade , seikluste ja kuulsuse poole vaatama ? "" "
8	NA	" "" Ei kunagi pole ma selliseid asju eesmärgiks seadnud , mind on tagant tõuganud vaid soov väärida oma isa nime ning pärandada oma poegadele varandus , mille nooruses läbi lõin . "" "
9	NA	" "" Siiski , Sindbad , "" lausus kaliif lõbusalt , "" pole minu riigis sinust targemat kaupmeest ega meresõitjat . "
9	NA	" Ja kui kellelgi on au esindada mind ja kõiki meie meresõitjaid , siis oled see sina — suurim ja kuulsaim kõigist meestest , kes laevadega Bagdadile vägevust toonud . "" "
10	NA	 Nüüd teadsin ma juba , et kaliifi tahte järgi ootab mind taas ees reis keelduda sellest ma ei saa . 
10	NA	 On tõsi , et seiklusi ja kuulsust pole ma kunagi otsinud , vaid ainult rikkust ja rahulikku vanaduspõlve , kuid hädaohud on ise minu juurde tulnud ning Allah ja õnn on mind seni aidanud . 
10	NA	" Kaliif kutsus ustava vesiiri El Hazlili , kes Ümarpalees on kutsutud hoolitsema kaunite kunstide ja teaduse eest , ja laotas minu ette laiali kaardi ning sõnas kavalalt : "" Sedapuhku , Sindbad , ei saada me sind võitlema korsaaridega , vaid tõesti ülesandele , mis kinnitab sinu seisust kaliifi väljavalitute seas . "" "
11	NA	" "" Sinust saab minu admiral , Sindbad , "" lisas kaliif ja ma kummardasin , alandlikult , nagu teeks igaüks , kellele Prohveti — rahu olgu temaga — enda onu al-Abbassi järeltulija sellist au osutab . "
12	NA	" "" Kui palju tead sa Egiptist ? "" küsis El Hazlil . "
13	NA	" "" Minu reisid pole mind sellele imede maale viinud , "" vastasin , "" kuid tean niipaljut , et umbes kakssada aastat tagasi Amr Bin Al Aas selle maa roomlaste käest vallutas ja sellest ajast peale Prohveti nimi seal püha on . "" "
14	NA	" "" Seal elavad isekad inimesed , "" märkis kaliif , "" kes algul Madinah'i kalifaadi võimu all olid , seejärel nende jumalasalgajate Ommayadide dünastia alamad ja praegu veel minule kuulekad , ehkki riukaliku Abd Al-Aziz Bin Marwani vaim nende kohal lehvib ja nad minu võimust sõltumatult tahavad elada . "
14	NA	" Siiski on Egipti praegune valitseja Al-Hussein Ibn Gamil mulle kuulekas ja teoks teinud meie kõige suurema käsu ja soovi . "" "
15	NA	" "" Vaata , "" sõnas El Hazlil ja osutas sõrmega kaardil kohale , milles tundsin ära kuulsa Jedda sadama enne Makkah'i linna . "
15	NA	" "" Punane meri . "
15	NA	 Aegade algusest on sellel laevatatud ja kaupu veetud , rikkusest pungil linnad ja riigid on selle mere ääres asetsenud — Qataban , Hadhramaut , Ma'an , Axum Etioopias ja kuulus Petra Nabataea maal . 
15	NA	 Sellest ajast kui meie laevad üle mere Indiasse käivad , on nende riikide hiilgus küll vähenenud , ent kaliifi tahtmine on seda muuta . 
15	NA	" Kas sa oled kuulnud linnast As-Suways ? "" "
16	NA	 Ma polnud sellisest linnast midagi kuulnud . 
17	NA	" "" See jääb siia , "" näitas El Hazlil kohale kaardil , loodes Nabataeast , üle Siinai poolsaare . "
17	NA	" "" Sellest saab sinu reisi esimene sihtpunkt . "
17	NA	" Juba Pärsia vallutaja Dareios alustas siit kanali kaevamist järvede poole põhjas , et edaspidi ühendada see Niilusega ja sel kombel jõuda laevadega merele , mida kutsutakse Vahemereks . "" "
18	NA	" "" Kreeklaste merele ! "" märkisin ma . "
19	NA	" "" Dareios teadis , millise eelise annab nende vastu võitlemine , kui laevad saavad vabalt kreeklaste linnade alla tulla . "
19	NA	 Ilmselt juba tuhandeid aastaid varem olid Egipti kuningad seal kanalit kaevanud , keegi vaarao Necho näiteks . 
19	NA	 Kuid Dareios ei lõpetanud kanalit , kuna kartis , et Punase mere veetase on kõrgem Vahemere omast ja läbimurdel uputab vesi Niiluse delta . 
19	NA	 Alles Ptolemai söandas kanali lõpetada ja vanade käsikirjade järgi oli see hiilgav . 
19	NA	 Ookeanilaevad said sealt läbi sõita ning vanad Egipti valitsejad reisisid mööda kanalit juba kuussada aastat enne Prohveti sündi . 
19	NA	 Ning kuulus Amr Bin Al Aas kaevas kanali taas lahti , kuid hiljem jäi see jälle soiku , kuna see liigpalju tööd ja inimesi nõudis . 
19	NA	" Kõige hiilgavama valitseja , minu isanda Al-Rašidi ajal on kanal taaskord lahti kaevatud , et meie uus laevastik — mis ei sündinud mitte ilma sinu abita , Sindbad — saaks läbi selle otse kreeklaste juurde purjetada . "" "
20	NA	" "" Hämmastav , "" hüüatasin mina . "
21	NA	" "" Seda , loodan ma , "" ütles kaliif , "" arvavad ka kreeklased , kelle eest on töid hoolikalt saladuses hoitud . "" "
22	NA	" "" Sa tead , Sindbad , "" jätkas El Hazlil , "" et sellest ajast , kui Prohvetist — rahu olgu temaga — pärinev sugu on võimul ja reeturlike Ommayadidega on lõpp tehtud , on kalifaadil aeg enda sisse pöörata ja järele mõelda , kuidas hiiglaslikke valdusi , mille meie isad vallutanud , paremini ja targemini valitseda . "
22	NA	 Me peame mõistma paremini Allahi sõna , Qurani , ja jõudma arusaamisele , mida tahtis Allah öelda meile ja meie vaenlastele . 
22	NA	" Millisena tahame me näha õigeusklike maid homme ja millistena suhteid oma praeguste naabritega ? "" "
23	NA	" "" Juba praegu on raske , "" ohkas Harun Al-Rašid , "" kõiki meie valdusi Bagdadist valitseda . "
23	NA	 Ma näen , et kohalikud emiirid tahavad lahku lüüa ... 
23	NA	 Ja Allahi nimel , ma ei saa neid hukka mõista . 
23	NA	 Kui sa võtad kätte Qurani , loed seda , on Allah kogu aeg sinuga , sinus ja sinu ümber . 
23	NA	 Allumine tema sõnale teeb meid tugevaks , temaga mõistame me maailma ja ennast . 
23	NA	 Kuid mis on Bagdad Allahi vägevuse kõrval ; mida tähendab Bagdad Maroko emiirile , kui ta pole siin iial käinud ? 
23	NA	 Prohvet oli Allahi sõnumitooja ; minu esiisad aitasid sõnumit edasi levitada , õigluse ja õitsvuse sõnumit . 
23	NA	 Mina näen , et Allahi sõna on nüüd jõudnud selle vajajateni ja nüüd peame selles paremini selgusele jõudma , tungima kogu sügavuseni ja mõistma igat kui silpi . 
23	NA	" Bagdad ei ole seal , kus Maroko , kuid seal on Quran , mis on õigeusklikule paremaks toeks kui kaliif . "" "
24	NA	" "" Need on targa valitseja sõnad , "" kummardasin mina . "
24	NA	" "" Siiski on Bagdad kogu maailma pärl , sinu esiisad ehitasid selle tühja koha peale , kuivendasid sood , ehitasid müürid ja niisutuskanalid , panid aluse lossidele ja templitele . "
24	NA	 Nüüd elab siin üle miljoni inimese , kaupu ja rikkust voolab üle maailma . 
24	NA	" Süüdistagu need end ise , kes ei mõista Bagdadi suuruse ees alandlikud olla ! "" "
25	NA	" "" Meie võimsust , vastutulelikkust ja üllameelsust lähedki sina , Sindbad , koos El Hazliliga kreeklastele näitama , "" sõnas Harun Al-Rašid muiates . "
25	NA	" "" Nende eelmised valitsejad olid Allahi suhtes leebemad kui praegune , keegi naine Eirinh . "
25	NA	 Räägitakse , et ta lasi oma pojal , seadusjärgsel imperaatoril , silmad välja torgata ja ta tappa , et ise valitseda . 
25	NA	 Eirinh lubas taas kummardada puuslikke ; Eirinhil on suured sõjaväed , kuid ta ei oska neid kasutada ; Eirinh tahab saada jälle terve Rumi valitsejannaks ... kuuldusi on palju , ent ma ei tea tõde . 
25	NA	 Too see mulle ! 
25	NA	 Mis oleks parem kui näidata neile meie jõudu ning ühtlasi panna käima oma laevad Konstantinoopolist Indiani ? ! 
25	NA	" Sina , Sindbad , juhid meie laevastikku saadikutega , mis täpselt seitsme päeva pärast Basrast teele asub . "" "
26	NA	" "" Kiidetud olgu Allah , "" ütles El Hazlil . "
26	NA	" "" Sinu üheksas merereis saab olema puhkus ja pidu . "
26	NA	" Ei mingeid meremadusid , vaid rikkalikud pidustused Konstantinoopolis . "" "
27	NA	 Ma naasesin Ümarpaleest oma majja ja läksin otsemaid oma esimese naise Fatima juurde , et talle neid sõnumeid teatada . 
27	NA	" Minu ära kuulanud , puhkes Fatima kibedasti nutma ja kostis : "" Oo , Sindbad , mu armas mees ja käskija ! "
27	NA	 Täna öösel nägin ma kohutavat unenägu . 
27	NA	 Tulisulgedes džinn lendas üle taeva , pritsides surmavaid leeke . 
