par_nr	head	sentence
1	 Kindel linn 	 Kindel linn 
2	NA	 Indrek Hargla 
3	NA	 Ernesto oli need nahkrihmad ühest vanast panipaigast leidnud . 
3	NA	 Ilmselt kasutati neid kunagi ratsastamisel , kuid see polnud oluline . 
3	NA	 Rihmad sobisid oma uueks ülesandeks suurepäraselt . 
3	NA	 Ta tõmbas need juba vilunult kinni , ise endiselt ladinakeelset palvet pomisedes . 
3	NA	 Palvegi tuli juba üle Ernesto huulte soravalt , kuigi oli pikk ja keeruline ning kõneles asjadest , millest ta suuremat ei mõistnud . 
3	NA	 Ega oleks tahtnudki mõista . 
4	NA	 Kardinali randmetele olid juba eelmised korrad sooninud sinakad köitmisvalumid . 
4	NA	 Risti harud olid rihmad siledaks poleerinud . 
4	NA	 Veel viimane tõmme ja sõlm peale . 
4	NA	 Kui luud raksusidki , siis süümepiinu Ernesto enam ei tundnud . 
4	NA	 Ta uskus , et talitas õieti , uskus , et kardinal teab , mida teeb . 
5	NA	 Kinnises ruumis tõusis tuulepuhang ja kustutas hubisevad küünlaleegid . 
5	NA	 Ta tundis kerget vibreerimist . 
5	NA	 Nüüd see algas . 
5	NA	 Ernesto põlvitas ja hakkas valjul häälel palvet lugema . 
5	NA	 Tema ilus tenorhääl segunes rappumise ja karjetega . 
5	NA	 Kinniste silmadega oli kõik isegi õudsem , ta ei tahtnud ega söendanudki enam vaadata . 
5	NA	 Kardinali pea peksis teadvusetult vastu puuristi , keha tõmbles meeleheitlikus vastuhakus , tema väljaheitepidurid vallandusid pingutusest . 
6	NA	 Täna kestis see kauem kui eelmistel kordadel . 
7	NA	 Tavaliselt ei meeldinud Grpowskile rahvarikkad ruumid ja pungil restoranid . 
7	NA	 Ta eelistas vaiksemaid ja reserveeritumaid kohti . 
7	NA	 Kuid täna oli ta Roomas ja tahtis iga selle linna lõhna , meeleolu ja pilti endasse ahmida . 
7	NA	 Ta oli Roomat alati armastanud ja austanud , kuigi ise siia nii harva sattunud . 
8	NA	 Ja selles restoranis ei olnudki vaiksemat nurka . 
8	NA	 Juulikuu õhtud on Rooma melu haripunkt . 
8	NA	 Päevane kuumus on möödas , Vahemerelt toob tuul malbet ja sumedat õhku . 
8	NA	 Kirikutest , varemeist ja kunstiväärtustest väsinud turistid otsivad varjulisi kohti , kus veini saatel muljeid vahetada . 
8	NA	 Kõik ümberringi kihab ja keeb . 
8	NA	 Ja need lõhnad ... 
9	NA	 Igal linnal on omad lõhnad , arvas Grpowski . 
9	NA	 Lõhnad täis hurma , salapära ja peibutust . 
9	NA	 Kuid Rooma lõhnab ikkagi kõige erilisemalt . 
9	NA	 See pole Pariisi muretu akordionilõhn , Londoni asjalik õlleparfüüm või Moskva nukrutsev bensiinivingune papliaroom . 
9	NA	 Rooma lõhnab ainuomaselt pitsa ja marmori järele , tema purskkaevude rõskus seguneb ajastute väärika suursugususega , hangib endale mozzarella peene ja terava alltooni ja paiskab sulle lõpuks ninasõõrmeisse Kapitooliumi karge hõngu , segab selle roomlaste pisut kiirelt ja hakitult räägitava keele lõhnaga . 
10	NA	 Ja muidugi lõhnab siin ka tugevalt vere järele . 
10	NA	 Väga tugevalt . 
11	NA	 Kelner tõi neile kannuga majaveini , don Pucco maitses seda , tõstes pokaali aeglaselt nina juurde , keerutas , nii et paar tilka pritsisid tsentrifuugina üle ääre , võttis siis kerge lonksu ja näris veini . 
11	NA	" Kelnerist lõhnas sobimatult tugevalt "" Fahrenheiti "" järele , veini lõhna Grpowski aga ei tundnudki . "
11	NA	 Millegipärast ei moodustanud vein Rooma buketis talle olulist osa . 
12	NA	 Paistis , et don Pucco jäi pakutavaga rahule . 
12	NA	 Nüüd tellis ta sööki . 
12	NA	 Grpowski oli palunud midagi lihtsamat ja mahedamat . 
12	NA	 Ilmselt osutus selleks tomatite ja sibulatega hautatud antrekoot . 
12	NA	 Don Pucco eelistas lambakotlette brüsseli kapsaga . 
13	NA	" "" Ütle neile , et küüslauku ka kindlasti oleks , "" oli Grpowski palunud . "
13	NA	 Don seletas , et ilma küüslauguta ei valmistata siin ühtki rooga . 
13	NA	 Kuid igaks juhuks lasi ta kelneril tuua ka küüslauguga bagette . 
14	NA	 Ahjaa , muidugi oli siin veel roosilõhna . 
14	NA	 Nad istusid tänavapoolses servas , mis sagijate voolust oli varjatud ronirooside aiaga . 
