par_nr	head	sentence
1	 Sindbadi kaheksas reis 	 Sindbadi kaheksas reis 
2	NA	 Indrek Hargla 
3	NA	" "" Sellest ajast saadik olen ma puhanud , rahus ja õnnes , perekonna ning sõprade seltsis . "" "
3	NA	" Nii lõpetasin oma jutustuse seitsmendast merereisist , ning pöördusin Hindbadi poole : "" Noh , mu sõber , ja mida arvad sa nüüd ? "
3	NA	 Oled sa kunagi kuulnud inimesest , kes oleks minust rohkem kannatanud ja rohkem imelisel kombel surmast pääsenud ? 
3	NA	" Kas mitte ei tohiks ma nüüd tõesti nautida kerget elu , sest olen ma ju selle ära teeninud ? "" "
4	NA	" Pakikandja Hindbad suudles mu kätt ja vastas : "" Isand , tõepoolest olete te näinud kohutavaid õnnetusi . "
4	NA	 Ja ma olen veendunud , et kui kellelgi maailmas on õigus muretule elule , olete see teie . 
4	NA	" Kuid veel enam olen ma veendunud , et just teie olete see mees , keda ma otsinud olen . "" "
5	NA	 Seda öelnud , rebis pakikandja endalt viletsa ürbi , paljastas oma rinna , millel rippus uhke kuldkett imepärase talismaniga ja tõusis mu ette püsti . 
5	NA	 Korraga oli tema hääletoon ja silmavaade muutunud , enam polnud selles vaese käsitöölise alandlikkust ega aupaklikust , vaid nüüd kõneles ülik . 
5	NA	" "" Sindbad , "" ütles ta , "" ma tänan sind kuuesaja sekiini eest , mida sa mulle igal õhtul lahkelt kinkinud oled , kuid ma annan need sulle tagasi . "
5	NA	 Veel rohkem annan ma sulle , kui võtad vastu pakkumise , mille sulle esitada tahan . 
5	NA	" Sest ei ole ma pakikandja Hindbad , vaid Basra valitseja vesiir El Hazlil . "" "
6	NA	 Panin rahulikult käest veinipeekri ja viipasin teenritele , et need toast lahkuksid . 
6	NA	" Siis ütlesin : "" See pole mulle üllatuseks , et sa tõesti vaene pakikandja ei ole . "
6	NA	 Temale poleks ma iialgi jutustanud neid lugusid , kuigi mõnikord juba soovisin , et meie vahel seda peitusemängu poleks . 
6	NA	" Ma kuulan sind , kõrgeauline El Hazlil ! "" "
7	NA	" "" Ma tulin kaliif Harun al Rashidi juurde palvega Basra valitsejalt , "" jutustas vesiir . "
7	NA	" "" Nagu sa tead , on Basra al Rashidi võimu all ja kõigest tähtsast tuleb temale ette kanda . "
7	NA	 Nii saatiski kuningas mind ennast , sest kedagi teist ta sellise ülesande juures ei usaldanud . 
7	NA	 Ma tulin kõrgeaulise kaliifi ette ja kõnelesin talle , miks mind saadeti . 
7	NA	 Ta ütles , et on ainult üks mees Bagdadis , kes sellise ülesandega hakkama saaks . 
