par_nr	head	sentence
1	 ARTUR MAGNUSSONI SUUR SÕJASUVI 	 ARTUR MAGNUSSONI SUUR SÕJASUVI 
2	NA	 Olev Remsu 
3	 VOJENNAJA KUI NIISUGUNE 	 VOJENNAJA KUI NIISUGUNE 
4	NA	 Nõukogude ajal õppis Artur Magnusson neljandal kursusel . 
4	NA	 Temagi kõige tähtsamaks aineks oli vojennaja . 
4	NA	 Nõnda ütlesid tudengid . 
4	NA	 Prodekaan rääkis sõjalisest algõpetusest , jah oh , kui palju tuli tal sellest rääkida ! 
4	NA	 Umbes pooled tema jutud kulusid sellele distsipliinile . 
4	NA	" Lastetu , emalik naine , keda Linda Karlovnaks kutsuti , lausa mangus : "" Poisid , õppige , palun seda algõpetust . "
4	NA	 See tuleb kasuks teile endile ja meie suurele kodumaale . 
4	NA	" Kodumaa saab tugevamaks ning teid ei võeta sõjaväkke , kui teil õppimisega asjad korras on . "" "
5	NA	 Linda Karlovna võitles selle eest , et ülikool saaks endale Lenini noorema venna Dmitri Iljitš Uljanovi nime . 
6	NA	 Aga austavaid nimesid anti ainult ülikoolidele , kus sõjaline algõpetus oli eriti heal järjel . 
7	NA	" Kafedra umbkeelsed vene ohvitserid rääkisid vojennaja podgotovkast : "" Podgotovka on kõige tähtsam – kui pole podgotovkat , tungib vaenlane meile kallale . "
7	NA	" Ja tutkit sulle ülikooli ! "" "
8	NA	 Jäi päris arusaamatuks , kas nad tegid nalja või rääkisid tõsiselt . 
9	NA	 Tunniplaanidesse märgiti see kuulus distsipliin kui eriõpetus , matriklis ei mainitud seda üldse . 
10	NA	 Miks ? 
10	NA	 Artur teadis seda . 
11	NA	 Hiilib näiteks spioon ülikooli kuue samba vahelt sisse – soni silmil , mustad prillid ees ja sigariving järel – , pildistab sõrmusfotoaparaadiga tunniplaani ning näitab siis seda fotot Pentagonis oma ülemustele , kes ta meie kodumaale oma räpast tööd tegema saatsid . 
12	NA	 Nüüd aga sai spioon pika nina , kuna kavalalt oli loodud olukord , kus pildistada ei olnud mitte midagi . 
12	NA	 USA sõjalised kulutused lendasid selle koha pealt vastu taevast . 
12	NA	 Üksnes NATO analüütikud said peamurdmistööd – mida küll võiks tähendada see šifreeritud eri ? 
13	NA	 Ja milleks hoiti kahtlastest sõnadest puhas matrikkel ? 
14	NA	 Kõike võib ette tulla . 
15	NA	 Pageb näiteks Nõukogude dokumentatsiooni koguv tudeng välismaale , näitab seal imperialistidele oma reeturlikku juudasaaki – võtku sõjasüütajad näpust , aga matriklis ei ole midagi sellist , mille abil võiks rahuarmastavale Nõukogude Liidule sõja ettevalmistamist ette heita . 
16	NA	 Artur oli juba kolm aastat vojennajat õppinud , täna ei olnud kaalul ei rohkemat ega vähemat kui pääs Klaipedasse , Leedu NSVsse , suvelaagrisse , see tähendab spooridele , kus ta pidi saama võitmatu Nõukogude armee ohvitseriks . 
16	NA	 Nii nägid ette õppeprogrammid ja ega teist võimalust ei olnudki . 
17	NA	 Kes leitnandiks ei saanud , see visati ülikoolist välja ning saadeti kaheks aastaks reamehena sõjaväkke . 
18	NA	 Nõnda oli sõjaväest pääsemise ainus võimalus ohvitseriks hakkamine . 
18	NA	 Kes tahtis mõnusat tudengielu edasi nautida , see pidi pingutama . 
19	NA	 Kafedra ülema asetäitja õppe-kasvatustöö alal alampolkovnik Ivaništšev kuulutas iga aasta mai- ja oktoobriaktusel : 
20	NA	" "" Mida teeb nõukogude üliõpilane ? "
20	NA	 Nõukogude üliõpilane armastab nõukogude kodumaad ja selle kodumaa kaitsjat Nõukogude armeed . 
20	NA	 Seega nõukogude üliõpilane võib teisi aineid õppida , kuid vojennajat ta peab õppima . 
20	NA	 See on juba poliitikaküsimus , see on suhtumise küsimus . 
20	NA	 Kas üliõpilane , kellel on vojennajas halvad hinded , armastab kodumaad ? 
20	NA	 Ei armasta . 
20	NA	 Ja järelikult pole talle tarvis riigi kulul tasuta haridust anda . 
20	NA	 Kus on sellise inimese koht , kes ei armasta kodumaad ? 
20	NA	 Igatahes mujal , mitte ülikoolis . 
20	NA	 Kus see mujal on ? 
20	NA	 Sellele peab igaüks mõtlema ise . 
20	NA	" Te olete targad inimesed , saate aru küll . "" "
21	 VÄGISTATUD TUNNIMEHED 	 VÄGISTATUD TUNNIMEHED 
22	NA	" "" Noh , püüdke , palun ! "
22	NA	 Kas siis tõesti ei tule meelde ? 
22	NA	" Me oleme seda juba kolm aastat õppinud , "" julgustas major Kalesnikov , dotsent ustaavide alal . "
23	NA	 Ustaavid tähendasid õhukest ja narmaliseks kulunud brošüüri , kus oli paragrahvide kaupa sees kõik , mida sõjaväes tohib teha ja mida mitte , ning kui kõvasti sind karistatakse , kui sa teed seda , mida ei tohi teha . 
24	NA	 Artur näppis parajasti enda ees laual väljaannet , kuhu keegi fanaatik oli joonlauaga alla jooninud sinise pliiatsiga sõnad 15-aastane vanglakaristus ning punasega mahalaskmine . 
24	NA	 Ja jooni oli palju . 
24	NA	 Maha võidi lasta kodumaa reetmise eest sõja ja rahu ajal , aga samuti grupiviisilise vägistamise eest vahipostil seistes ja mundris . 
25	NA	" "" Ma ei kuule vastust , seltsimehed tudengid , tulevased ohvitserid , "" ohkas Kalesnikov päris kurvalt . "
26	NA	 Artur põrnitses Ivanovi , keda ta elus esimest korda nägi , ning kes koos temaga maadles ustaavide eksamil . 
27	NA	 Lahe sell , ehkki kehakultuurakas , mõtles Artur . 
27	NA	 Kahe peale pidid nad üles lugema kõik Nõukogude armee auastmed , siis oli tee Klaipedasse lahti . 
28	NA	" "" Esimene on sõdur , "" ütles Artur juba neljandat korda , vaatas veidi süüdlaslikul ilmel majorimundris dotsenti . "
29	NA	 Too noogutas , Artur oli neljandat korda õigesti pihta saanud . 
30	NA	" "" Ei , reamees ! "" vaidles vastu Ivanov , tegi seda samuti neljandat korda . "
31	NA	" "" Ükskõik , ärme tegeleme pisiasjadega , "" ütles Kalesnikov . "
31	NA	 Ta oli heatahtlik ohvitser , ta ei kiusanud kedagi ja tahtis siiralt , et Arturist ja Ivanovist saaksid tublid ohvitserid , kes kaitseksid Nõukogude Liitu vaenlase eest . 
31	NA	" "" Missugune on järgmine auaste "" ? "
32	NA	 Kolm korda olid poisid mööda pannud . 
33	NA	" "" Kas alla- või ülespoole ? "" täpsustas nüüd Ivanov . "
34	NA	" "" Kuidas saab soldatist midagi allapoole olla , kui soldat on esimene ? "" suunas Kalesnikov kannatlikult tudengit õigele teele . "
35	NA	" "" Näiteks nooremsoldat , "" pakkus Ivanov . "
36	NA	" "" Nooremsoldateid pole olemas , "" lõi Kalesnikov nukralt käega . "
37	NA	" "" Õige küll ! "
37	NA	" Ma eksisin , "" tunnistas Ivanov kiirelt oma viga , kopsas põmmdi sõrmenukkidega vastu laupa ning püüdis vestluse veeretada vanale armsale teoreetilisele rajale . "
37	NA	" "" Minu arvates peab sõjaväes valitsema kord ja ei tohi olla ükskõik . "
37	NA	 Mina igatahes olen reamehe poolt . 
37	NA	" Ja üldse – miks pean mina mingite soldatitega jamama , kui mina ise ohvitseriks hakkan ? "" "
38	NA	" "" Hea küll ! "" haaras Kalesnikov mõttest kinni . "
38	NA	" "" Teie , Ivanov , saate leitnandiks . "
38	NA	" Kas Nõukogude armees on ka teist madalamat ohvitseri ? "" "
39	NA	" "" Ega ometi major ? "" nokkis Ivanov . "
40	NA	 Kalesnikov ei osanud piinlikkusest oma silmi peita . 
41	NA	" "" Võibolla porutšik , "" pakkus Artur üsna lootusetult , sest talle lihtsalt meeldis see sõna . "
42	NA	" "" Mis ma teiega teen ? "" laiutas Kalesnikov käsi . "
42	NA	 Ta oli üsna pigis , ja tal oli poistest kahju . 
42	NA	" "" Ma ei saa teid koju õppima ka saata , sest juba homme on Klaipedasse minek . "" "
43	NA	" "" Kas küsimuse võib esitada ? "" küsis Ivanov ustaave lapates . "
44	NA	" "" Palun , olge lahked . "
44	NA	" Selleks ma olen siin , et teid aidata , "" vastas Kalesnikov . "
45	NA	" "" Vaadake , siin on kirjas , et grupiviisilise vägistamise eest vahipostil ja mundris lastakse maha . "
