par_nr	head	sentence
1	 Ilus õhtu , härra Dannfuss ... 	 Ilus õhtu , härra Dannfuss ... 
2	NA	 Veiko Belials 
3	NA	 Õhtu oli oivaline . 
3	NA	 Leitsak , mis päeval võimutses , pannes õhu paakunud maa kohal värelema , oli taandunud ning teinud ruumi värskendavale jahedusele , mida kerge tuuleõhk mägedest kandis . 
3	NA	 Silmi sulgedes ja niiskeid puhanguid sisse hingates võis tunda mägiaasadel kasvava värske rohu vaevutajutavat aroomi . 
3	NA	 Päike oli juba loojunud , kuid öö must mantel polnud veel maailma kinni katnud . 
3	NA	 Veel valitses see maaliline üleminek valguse ja pimeduse , päeva ja öö vahel ; hetk , mil värvid sulanduvad ja nime kaotavad . 
3	NA	 Taevas , mille puna pikkamisi lillakaks tõmbus , küütles erinevates toonides ja selles purpurses õhetuses särasid läikivroosad pilved . 
4	NA	 Läbipaistva loorina laskus majale hämarus , mähkides ta tsikaadide sirinasse . 
4	NA	 Seinad , mis mäletasid veel päevast kuumust , võpatasid kergelt , tunnetades öö rõske hinguse lähenemist . 
5	NA	" "" Ilus õhtu , härra Dannfuss , "" kõlas trepilt . "
6	NA	 Mees , kes terrassil seisis , pöördus . 
6	NA	 Ta oli pikk ja kõhn , aristokraatliku hoiaku ja ikka veel sirge rühiga , kuigi ta meelekohad olid juba ammu aastatest härmas . 
7	NA	" "" Aa , see olete teie , mister Holbrook , "" sõnas ta . "
7	NA	" "" Jah , õhtu on tõesti suurepärane . "
7	NA	 Te vaadake vaid neid värve ! 
7	NA	" Midagi sellist ei näe te enam kunagi , see on kordumatu ! "" "
8	NA	" "" See on ju vaid loojang . "" "
8	NA	 Mister Holbrook päästis oma vanamoodsa kuue hõlmad lahti , paljastades moestläinud laiad traksid , mida keegi enam ammu ei kandnud , ning istus ägisedes trepiastmele . 
8	NA	" "" Homme kordub see jälle . "
8	NA	 Ja ülehomme ... 
8	NA	" Ja üleülehomme ... "" "
9	NA	 Härra Dannfuss raputas pead . 
10	NA	" "" Ainult loojang ... "
10	NA	 Jah , seda ta on . 
10	NA	 Kuid ta ei kordu , ei ! 
10	NA	 Ta on alati uus , alati erinev . 
10	NA	 Ta muutub , Holbrook , muutub ! 
10	NA	 Värvid , toonid , tunded , nüansid ! 
10	NA	 Seda , mis oli täna , te homme ei näe . 
10	NA	 Seda , mis oli täna , te homme ei tunne . 
10	NA	 Seda , mis oli täna , ei saa enam tagasi , see on läinud . 
10	NA	 Igaveseks . 
10	NA	 Imetlege , Holbrook , jätke meelde . 
10	NA	 Te võite näha midagi sarnast , kuid ei kunagi enam täpselt seda , mida praegu , selles ongi looduse kordumatu võlu . 
10	NA	" Alati midagi uut ... "" "
11	NA	" "" Te oleksite pidanud hakkama luuletajaks , Dannfuss . "
11	NA	 Või kunstnikuks . 
11	NA	" "" "
12	NA	" "" Ma olin . "
12	NA	" Kunagi . "" "
12	NA	 Härra Dannfuss vaikis mõne hetke . 
12	NA	" "" See oli ammu . "
12	NA	" "" "
13	NA	" "" Te pole sellest kunagi rääkinud . "
13	NA	" Mis juhtus ? "" "
14	NA	" "" Ei midagi . "
14	NA	 Sel polnud mõtet . 
14	NA	" On ainult üks kunstnik , üks luuletaja , "" viipas härra Dannfuss jalutuskepiga , mille hõbenupp loojangu puudutusest roosakaks värvus , "" loodus . "
14	NA	 Teised on vaid haledad jäljendajad . 
14	NA	" "" "
15	NA	" "" Teil võib isegi õigus olla , "" noogutas Holbrook . "
15	NA	" "" Ma pole sellele varem mõelnud . "
15	NA	" "" "
16	NA	 Nad vaikisid . 
17	NA	 Neil polnud sõnu vaja . 
18	NA	 Kaks vana meest ja vana maja kesk lõputut vaagavat vaikust . 
18	NA	 Nii oli see alati olnud . 
18	NA	 Ajad muutusid , maailm samuti , kuid nemad jäid samaks . 
