par_nr	head	sentence
1	 Vend Rus 	 Vend Rus 
2	NA	 Indrek Hargla 
3	NA	 Diobolus superior qui homo est 
4	NA	" "" Moto Kopenhaageni Kuninglikus Raamatukogus säilitatava tundmatu autori teosest "" "
5	NA	 Vend Rus oli tulnud Esrumi kloostrisse ühel tuulisel septembripäeval seksti ajal , mil mungad parasjagu esimest einet võtsid . 
5	NA	 Ta tuli jalgsi , lõunast , järve ja Graestvedi poolt , üle kuppelmaastiku , suur , mehine kogu pikas kulunud ürbis , jalad kammitsetud räbaldunud sandaalidesse ja ilmatuma suur nurgeline kott üle õla ; koputas väärikalt , ent paluvalt väravale ja jäi ootama , kuni keegi tema jaoks aega leiab . 
5	NA	 Tsellaarius Heicko käskis ta sisse lasta , kuulas ära , mis oli mehel öelda ja leidis , et pole midagi , mis takistaks Rusil ilmikvennana teiste tsistertslaste sekka asumast , seda enam , et mees ütles enda kokakunstiga tuttav olevat ning endine kloostri kokk oli mõned nädalad tagasi kopsupõletikku surnud . 
6	NA	 Talle näidati kätte köök ja ase dormitooriumis . 
6	NA	 Rus kõneles , et on pärit mandrilt ja et nooruses palju ringi rännanud , ent nüüd — ära tundnuna , et jumalast kaugel olev elu ei suuda teda enam köita — sooviks ta oma elupäevad veeta vagade müüride vahel . 
6	NA	 Abt Sven oli nõus ja Rus võeti Esrumi kloostri hingekirjas arvele . 
7	NA	 Ühe ilmikvenna tulek ei peaks küll kloostri elurütmi ega selle asukate rutiini mõjutama . 
7	NA	 Ja alguses ei mõjutanudki . 
7	NA	 Põhja Sjællandi tsistertslased elasid samal kombel edasi , täitsid oma püha kohust — harisid maad , kasutasid vesiveskit , kasvatasid vilja , lugesid , palvetasid , olid ranged enda ja teiste vastu . 
7	NA	 Karm kehaline töö toob lunastuse , sest ka apostlid elasid oma töö viljadest . 
7	NA	 Kuus tundi und , kuus tundi tööd , viis tundi lugemist ja seitse tundi teenistust kirikus — nii päevast päeva , aastast aastasse . 
7	NA	 Ilmikvennad pidid muidugi palvetama vähem ja töötama rohkem . 
8	NA	 Rusi esimese kloostris veedetud aasta jooksul ei pannud õieti keegi tähele , et vennad olid hakanud rohkem ja maitsvamat toitu sööma . 
8	NA	 Parem söök pikendab aga puhketunde ; teeb laisaks . 
8	NA	 Kui vesiveski läks järgmisel kevadel rikki , ei tehtud seda nädal aega korda . 
8	NA	 Tsellaarius Heicko oli raevus , kuuldes , et vee-energia kunsti tundvatele vendadele oli Rus töö kõrvale köögist vaid paremaid palasid saatnud . 
8	NA	 Tigedalt läks ta Rusi juurde ja nõudis seletust . 
9	NA	" "" Oh , nende töö on raske ja ma vaid tahtsin seda leevendada , "" kostis suur mees alandlikult pead langetades . "
10	NA	" "" Pruukosti võetakse seksti ja vesperite ajal , "" märkis tsellaarius , "" ja ainult . "
10	NA	" Ma käsin sul vendi nende töös enam mitte eksitada . "" "
11	NA	 Rus kuuletus , kuid kas mitte ei jõudnud Heicko kõrvu — kui ta köögist tigedana amraariumi poole suundus — kellegi räme naer , mis oleks otsekui kloostri seinu raputanud . 
12	NA	 Aasta möödus kloostris üldiselt vaikselt , peagi sumbus ka rahulolematusepobin , mis johtus sellest , et abt Sven oli otsustanud enam mitte teiste vendadega tööl käia ja kolis oma ruumist dormitooriumi kõrvalt eraldi järveäärsesse elamisse , kus tal oli ka oma raamatukogu . 
12	NA	 Tsellaariuselegi polnud see algul meeldinud , ent hiljem — kui ta oli kuulnud , et teistegi tsistertslaste kloostrite abtid olid hakanud rohkem aadlike ja maaisandate moodi käituma — leppis ta olukorraga . 
12	NA	 Aga Rusi suhtes hakkas tublil tsellaariusel tekkima umbusaldus . 
12	NA	 Tal oli seda raske endale seletada ja tihti kahetses ta oma mõtteid , palvetas ja palus andeks , et ta oli vennast nõnda sallimatult mõelnud . 
12	NA	 Aga süda ja mõistus käivad tihti eri radu . 
13	NA	 Ühel päeval tabas ta Rusi kloostri raamatukogust . 
13	NA	 Kuigi selles polnud midagi otseselt keelatut , et ilmikvend viibib töö ajal raamatukogus , ometi ei meeldinud Heickole sugugi , et see Rus oli , kes seal astmete pealt üht vana raamatut riiulist kangutas . 
14	NA	" "" Ma mõtlesin , et sa ei oska lugeda , "" ütles tsellaarius , kui oli venna toimetusi vaikides ruuminurgast jälginud . "
15	NA	" "" Mõned sõnad ikka oskan , "" vastas Rus ümber pööramata ega paistnud tabamisest sugugi üllatunud olevat . "
